時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:37:30.143,-73.38375347661975
2023/02/12 05:37:30.269,-76.40198543507385
2023/02/12 05:37:30.396,-76.3412057351019
2023/02/12 05:37:30.522,-76.37969268932059
2023/02/12 05:37:30.649,-76.37087367367133
2023/02/12 05:37:30.785,-76.35557557909814
2023/02/12 05:37:30.912,-76.38612284838852
2023/02/12 05:37:31.036,-76.3269938226667
2023/02/12 05:37:31.170,-76.39221174929578
2023/02/12 05:37:31.301,-76.3540404411265
2023/02/12 05:37:31.429,-76.40447367333132
2023/02/12 05:37:31.570,-76.33277029974417
2023/02/12 05:37:31.698,-76.37493597150151
2023/02/12 05:37:31.823,-76.35517873440996
2023/02/12 05:37:31.967,-76.38797975823604
2023/02/12 05:37:32.098,-76.3199997351265
2023/02/12 05:37:32.234,-76.3996922498064
2023/02/12 05:37:32.367,-76.38404101631222
2023/02/12 05:37:32.506,-76.40351249965568
2023/02/12 05:37:32.630,-76.38408626202579
2023/02/12 05:37:32.756,-76.42064144589544
2023/02/12 05:37:32.883,-76.42259426583196
2023/02/12 05:37:33.022,-76.41506650996091
2023/02/12 05:37:33.150,-76.41964999574564
2023/02/12 05:37:33.288,-76.41638120279421
2023/02/12 05:37:33.414,-76.39771228998578
2023/02/12 05:37:33.544,-76.43860100706922
2023/02/12 05:37:33.680,-76.38106403771772
2023/02/12 05:37:33.805,-76.42808456466219
2023/02/12 05:37:33.930,-76.38721203629389
2023/02/12 05:37:34.067,-76.44881648373291
2023/02/12 05:37:34.197,-76.43537546938344
2023/02/12 05:37:34.327,-76.42650860189941
2023/02/12 05:37:34.465,-76.39539391373971
2023/02/12 05:37:34.597,-76.39717515949452
2023/02/12 05:37:34.736,-76.4584723255949
2023/02/12 05:37:34.875,-76.37683043166918
2023/02/12 05:37:35.012,-76.39797134862624
2023/02/12 05:37:35.148,-76.44305545724815
2023/02/12 05:37:35.285,-76.40493217983925
2023/02/12 05:37:35.411,-76.4449030838146
2023/02/12 05:37:35.537,-76.42055050731562
2023/02/12 05:37:35.663,-76.41007536902278
2023/02/12 05:37:35.803,-76.4175320007688
2023/02/12 05:37:35.929,-76.43453650711291
2023/02/12 05:37:36.067,-76.39020628746788
2023/02/12 05:37:36.202,-76.37602900498118
2023/02/12 05:37:36.335,-76.41994065491878
2023/02/12 05:37:36.467,-76.3885928549298
2023/02/12 05:37:36.601,-76.44074056478348
2023/02/12 05:37:36.732,-76.40885623208716
2023/02/12 05:37:36.867,-76.4177537352577
2023/02/12 05:37:37.004,-76.41810989725323
2023/02/12 05:37:37.133,-76.4335194254516
2023/02/12 05:37:37.271,-76.44864904662867
2023/02/12 05:37:37.411,-76.36296844636061
2023/02/12 05:37:37.536,-76.41883932359062
2023/02/12 05:37:37.663,-76.38697150213389
2023/02/12 05:37:37.801,-76.46084104097218
2023/02/12 05:37:37.927,-76.39455656102024
2023/02/12 05:37:38.068,-76.40775332397223
2023/02/12 05:37:38.199,-76.43210460031707
2023/02/12 05:37:38.334,-76.4321318587791
2023/02/12 05:37:38.467,-76.44825645768424
2023/02/12 05:37:38.601,-76.37216175121564
2023/02/12 05:37:38.733,-76.47116373058563
2023/02/12 05:37:38.867,-76.39967535540183
2023/02/12 05:37:39.004,-76.44269459831035
2023/02/12 05:37:39.130,-76.4114608253754
2023/02/12 05:37:39.255,-76.42213196171592
2023/02/12 05:37:39.387,-76.42002909438577
2023/02/12 05:37:39.522,-76.45319452715276
2023/02/12 05:37:39.660,-76.39319384743985
2023/02/12 05:37:39.786,-76.40203284082351
2023/02/12 05:37:39.926,-76.42322577283961
2023/02/12 05:37:40.068,-76.41663048629772
2023/02/12 05:37:40.201,-76.40404341275475
2023/02/12 05:37:40.334,-76.40020308694534
2023/02/12 05:37:40.461,-76.40746256582662
2023/02/12 05:37:40.597,-76.43299207602328
2023/02/12 05:37:40.756,-76.35669810916754
2023/02/12 05:37:40.885,-76.41434569278285
2023/02/12 05:37:41.023,-76.40417012340538
2023/02/12 05:37:41.149,-76.41323895997759
2023/02/12 05:37:41.286,-76.38237204750722
2023/02/12 05:37:41.415,-76.4019255168262
2023/02/12 05:37:41.552,-76.39728519740659
2023/02/12 05:37:41.679,-76.4237967801063
2023/02/12 05:37:41.805,-76.43129466309176
2023/02/12 05:37:41.943,-76.42502474812518
2023/02/12 05:37:42.069,-76.37176468310024
2023/02/12 05:37:42.199,-76.43519019181069
2023/02/12 05:37:42.337,-76.39078142557679
2023/02/12 05:37:42.465,-76.42842934772315
2023/02/12 05:37:42.602,-76.36028612342353
2023/02/12 05:37:42.735,-76.44353800842279
2023/02/12 05:37:42.866,-76.37670698470887
2023/02/12 05:37:43.005,-76.42292622819953
2023/02/12 05:37:43.145,-76.40990582247356
