時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:38:24.904,-76.36486421090041
2023/02/12 05:38:25.042,-75.4072551496996
2023/02/12 05:38:25.176,-76.39451026966081
2023/02/12 05:38:25.302,-76.3469858756472
2023/02/12 05:38:25.428,-76.33285302060511
2023/02/12 05:38:25.554,-76.40625233647975
2023/02/12 05:38:25.683,-76.3443726433049
2023/02/12 05:38:25.817,-76.11970349959822
2023/02/12 05:38:25.944,-76.45128999827374
2023/02/12 05:38:26.083,-75.71423579768421
2023/02/12 05:38:26.213,-27.69136863044166
2023/02/12 05:38:26.348,-20.4481717575463
2023/02/12 05:38:26.473,-23.907340668361854
2023/02/12 05:38:26.599,-29.256677519853124
2023/02/12 05:38:26.733,-20.405358455627493
2023/02/12 05:38:26.868,-48.80072080401918
2023/02/12 05:38:27.007,-24.484067012888445
2023/02/12 05:38:27.144,-33.2714910886822
2023/02/12 05:38:27.270,-50.17092407131999
2023/02/12 05:38:27.397,-46.048558396439354
2023/02/12 05:38:27.537,-32.741633812064194
2023/02/12 05:38:27.663,-32.741633812064194
2023/02/12 05:38:27.793,-30.231198937732522
2023/02/12 05:38:27.925,-34.46084852158491
2023/02/12 05:38:28.054,-27.526282516964564
2023/02/12 05:38:28.190,-17.701052101440393
2023/02/12 05:38:28.317,-21.945276217113317
2023/02/12 05:38:28.446,-41.03138727779307
2023/02/12 05:38:28.583,-28.276745540407862
2023/02/12 05:38:28.712,-45.90837561755515
2023/02/12 05:38:28.850,-65.50667532097124
2023/02/12 05:38:28.982,-73.75642885226152
2023/02/12 05:38:29.107,-25.686205483503223
2023/02/12 05:38:29.239,-29.447293309692384
2023/02/12 05:38:29.379,-31.89608804098799
2023/02/12 05:38:29.504,-17.50659801650115
2023/02/12 05:38:29.635,-25.566020125396648
2023/02/12 05:38:29.774,-20.254096934543767
2023/02/12 05:38:29.903,-20.254096934543767
2023/02/12 05:38:30.036,-61.70547873208578
2023/02/12 05:38:30.161,-67.79371569376165
2023/02/12 05:38:30.286,-74.08576684475958
2023/02/12 05:38:30.412,-20.360722781820538
2023/02/12 05:38:30.543,-12.240473385654976
2023/02/12 05:38:30.676,-21.646437286004506
2023/02/12 05:38:30.802,-34.737673881022154
2023/02/12 05:38:30.930,-22.69739170783883
2023/02/12 05:38:31.066,-36.98665285992971
2023/02/12 05:38:31.193,-18.230687625680872
2023/02/12 05:38:31.318,-20.39146575478987
2023/02/12 05:38:31.449,-26.436205812003053
2023/02/12 05:38:31.583,-38.50161091860356
2023/02/12 05:38:31.713,-18.714975983031938
2023/02/12 05:38:31.847,-49.72527367345981
2023/02/12 05:38:31.979,-62.11040808956785
2023/02/12 05:38:32.119,-73.83832372992431
2023/02/12 05:38:32.246,-73.73007058481379
2023/02/12 05:38:32.381,-48.20819686861003
2023/02/12 05:38:32.521,-17.826940123139543
2023/02/12 05:38:32.647,-13.902960235567232
2023/02/12 05:38:32.776,-21.926231344936404
2023/02/12 05:38:32.914,-22.28798204429207
2023/02/12 05:38:33.052,-72.21412403513034
2023/02/12 05:38:33.179,-69.55996868792366
2023/02/12 05:38:33.316,-76.0296642510722
2023/02/12 05:38:33.443,-76.19658309393031
2023/02/12 05:38:33.572,-76.34518758598153
2023/02/12 05:38:33.707,-75.68502060207157
2023/02/12 05:38:33.845,-76.31938350751015
2023/02/12 05:38:33.976,-76.37147840479852
2023/02/12 05:38:34.104,-76.29131825820899
2023/02/12 05:38:34.231,-76.3641979509407
2023/02/12 05:38:34.364,-75.10418949353097
2023/02/12 05:38:34.494,-76.35803479758067
2023/02/12 05:38:34.629,-76.38587274010736
2023/02/12 05:38:34.771,-76.26012940284667
2023/02/12 05:38:34.900,-76.37771992816661
2023/02/12 05:38:35.036,-23.47580249763417
2023/02/12 05:38:35.163,-14.538860953039174
2023/02/12 05:38:35.301,-40.11485859738375
2023/02/12 05:38:35.429,-25.26147884768173
2023/02/12 05:38:35.554,-56.40051261399428
2023/02/12 05:38:35.679,-72.60610078511885
2023/02/12 05:38:35.818,-75.40768372629073
2023/02/12 05:38:35.944,-74.38339388771969
2023/02/12 05:38:36.082,-75.55759632913114
2023/02/12 05:38:36.214,-76.17375007304844
2023/02/12 05:38:36.349,-76.3741697173255
2023/02/12 05:38:36.479,-76.17545754025028
2023/02/12 05:38:36.604,-76.32861269489447
2023/02/12 05:38:36.730,-75.5008752398133
2023/02/12 05:38:36.867,-76.2398275342162
2023/02/12 05:38:36.995,-74.93050989520415
2023/02/12 05:38:37.130,-74.824708136186
2023/02/12 05:38:37.270,-74.85460841682503
2023/02/12 05:38:37.396,-74.83042519167697
2023/02/12 05:38:37.521,-74.84373908053946
2023/02/12 05:38:37.650,-74.8252733047356
2023/02/12 05:38:37.787,-75.13328510549383
2023/02/12 05:38:37.926,-76.34121815941457
