時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:39:58.508,-76.3822208210466
2023/02/12 05:39:58.646,-76.43495825679628
2023/02/12 05:39:58.772,-76.41321981784098
2023/02/12 05:39:58.899,-76.42953306773437
2023/02/12 05:39:59.035,-76.39045205005213
2023/02/12 05:39:59.165,-76.4058761921636
2023/02/12 05:39:59.300,-76.4264110834724
2023/02/12 05:39:59.428,-76.40674085764748
2023/02/12 05:39:59.554,-76.45310135517921
2023/02/12 05:39:59.684,-76.38015053935686
2023/02/12 05:39:59.812,-76.39186704203652
2023/02/12 05:39:59.943,-76.16702149689226
2023/02/12 05:40:00.078,-76.3967099374059
2023/02/12 05:40:00.207,-76.4097678666021
2023/02/12 05:40:00.334,-76.45377313932362
2023/02/12 05:40:00.464,-69.46427325558975
2023/02/12 05:40:00.602,-75.60954818823848
2023/02/12 05:40:00.733,-76.51170738924891
2023/02/12 05:40:00.871,-76.39081765564723
2023/02/12 05:40:01.002,-76.39327297129839
2023/02/12 05:40:01.142,-76.37924293516646
2023/02/12 05:40:01.277,-75.16310952238445
2023/02/12 05:40:01.413,-65.08730828799412
2023/02/12 05:40:01.539,-71.80959558550418
2023/02/12 05:40:01.677,-76.39163704493026
2023/02/12 05:40:01.803,-74.60817401896725
2023/02/12 05:40:01.928,-76.08815781968296
2023/02/12 05:40:02.054,-76.37120474900097
2023/02/12 05:40:02.182,-76.05774948450625
2023/02/12 05:40:02.317,-76.37494700885173
2023/02/12 05:40:02.447,-76.38500752971312
2023/02/12 05:40:02.586,-76.3743080766913
2023/02/12 05:40:02.716,-76.33639837202196
2023/02/12 05:40:02.849,-76.34850204256368
2023/02/12 05:40:02.989,-76.32529072825596
2023/02/12 05:40:03.115,-76.32799532561776
2023/02/12 05:40:03.247,-76.34967111539792
2023/02/12 05:40:03.379,-76.36023749397908
2023/02/12 05:40:03.506,-76.2554946357449
2023/02/12 05:40:03.634,-67.61066499953522
2023/02/12 05:40:03.772,-71.9433769361949
2023/02/12 05:40:03.901,-58.2529562426111
2023/02/12 05:40:04.035,-74.36739936684819
2023/02/12 05:40:04.165,-76.34914253974911
2023/02/12 05:40:04.303,-76.35669261338825
2023/02/12 05:40:04.432,-76.31168857266869
2023/02/12 05:40:04.567,-76.32259984623992
2023/02/12 05:40:04.694,-76.15981607623385
2023/02/12 05:40:04.819,-73.67107651190314
2023/02/12 05:40:04.945,-76.02604681681662
2023/02/12 05:40:05.070,-76.23004984131848
2023/02/12 05:40:05.198,-76.3887424068484
2023/02/12 05:40:05.337,-76.33771703292271
2023/02/12 05:40:05.476,-76.39276282933287
2023/02/12 05:40:05.614,-75.91927458300765
2023/02/12 05:40:05.749,-66.67757359402964
2023/02/12 05:40:05.889,-60.41270256568876
2023/02/12 05:40:06.024,-75.25245211132426
2023/02/12 05:40:06.162,-57.771607749386945
2023/02/12 05:40:06.287,-57.43805106485464
2023/02/12 05:40:06.431,-75.18935473528921
2023/02/12 05:40:06.566,-59.010851093589295
2023/02/12 05:40:06.699,-73.11385694844863
2023/02/12 05:40:06.841,-66.43826847459168
2023/02/12 05:40:06.974,-75.07051461719334
2023/02/12 05:40:07.105,-76.35129849479696
2023/02/12 05:40:07.230,-76.33612849528282
2023/02/12 05:40:07.363,-76.37228085340291
2023/02/12 05:40:07.490,-76.28378528308575
2023/02/12 05:40:07.630,-76.29866632253788
2023/02/12 05:40:07.756,-76.29866632253788
2023/02/12 05:40:07.887,-76.30799286193553
2023/02/12 05:40:08.020,-76.32822404857122
2023/02/12 05:40:08.149,-42.63369348982789
2023/02/12 05:40:08.287,-42.70569289375142
2023/02/12 05:40:08.414,-43.12676505061332
2023/02/12 05:40:08.552,-35.208116754700775
2023/02/12 05:40:08.682,-56.65974727820579
2023/02/12 05:40:08.818,-60.78762689731367
2023/02/12 05:40:08.948,-51.683422944277986
2023/02/12 05:40:09.088,-76.29682797207956
2023/02/12 05:40:09.216,-76.36210292731943
2023/02/12 05:40:09.349,-76.3252325968881
2023/02/12 05:40:09.483,-76.3152143825601
2023/02/12 05:40:09.614,-76.27614916935936
2023/02/12 05:40:09.740,-76.33660832959177
2023/02/12 05:40:09.865,-76.29975400369786
2023/02/12 05:40:09.997,-76.29754601480957
2023/02/12 05:40:10.131,-74.33008066192747
2023/02/12 05:40:10.256,-72.99389944461706
2023/02/12 05:40:10.386,-76.37088444451383
2023/02/12 05:40:10.523,-76.35454048533204
2023/02/12 05:40:10.662,-76.27308247901323
2023/02/12 05:40:10.787,-70.6202515290014
2023/02/12 05:40:10.915,-64.84642538058219
2023/02/12 05:40:11.053,-76.4002688634775
2023/02/12 05:40:11.180,-67.6319523271488
2023/02/12 05:40:11.316,-66.79843803561806
2023/02/12 05:40:11.448,-70.40024986806849
