時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:43:28.768,-76.40188268130282
2023/02/12 05:43:28.905,-74.84296534987809
2023/02/12 05:43:29.036,-74.82676530985997
2023/02/12 05:43:29.164,-74.84724944733085
2023/02/12 05:43:29.303,-74.83589110961326
2023/02/12 05:43:29.444,-74.85617066766257
2023/02/12 05:43:29.573,-76.35904541161311
2023/02/12 05:43:29.711,-76.3819097210599
2023/02/12 05:43:29.869,-76.38182328732738
2023/02/12 05:43:30.009,-76.36078757529363
2023/02/12 05:43:30.146,-76.34050876896697
2023/02/12 05:43:30.273,-76.36461944617635
2023/02/12 05:43:30.412,-76.35527125373962
2023/02/12 05:43:30.537,-76.35686564208774
2023/02/12 05:43:30.664,-76.32534237279371
2023/02/12 05:43:30.802,-76.38910575712339
2023/02/12 05:43:30.931,-76.30709319605234
2023/02/12 05:43:31.067,-76.33507585942588
2023/02/12 05:43:31.198,-22.770558256666668
2023/02/12 05:43:31.332,-17.531915444490696
2023/02/12 05:43:31.464,-20.45659454731726
2023/02/12 05:43:31.590,-17.94010432915744
2023/02/12 05:43:31.728,-27.709166436790824
2023/02/12 05:43:31.863,-23.80659035605636
2023/02/12 05:43:31.998,-28.439364676291238
2023/02/12 05:43:32.138,-38.54964349062563
2023/02/12 05:43:32.264,-45.949705352070524
2023/02/12 05:43:32.398,-50.8211180308396
2023/02/12 05:43:32.523,-73.09785092638305
2023/02/12 05:43:32.662,-18.94780371640186
2023/02/12 05:43:32.787,-44.289921792659825
2023/02/12 05:43:32.913,-25.460754529095034
2023/02/12 05:43:33.054,-57.10015284258992
2023/02/12 05:43:33.193,-20.26785764441182
2023/02/12 05:43:33.329,-29.646804906359762
2023/02/12 05:43:33.460,-26.593291156136317
2023/02/12 05:43:33.589,-27.509006599316752
2023/02/12 05:43:33.722,-64.15382011907371
2023/02/12 05:43:33.879,-76.3319147641216
2023/02/12 05:43:34.007,-76.39224045917521
2023/02/12 05:43:34.162,-31.57586909901415
2023/02/12 05:43:34.294,-33.559689053979234
2023/02/12 05:43:34.427,-28.727507376217236
2023/02/12 05:43:34.552,-25.11587018482027
2023/02/12 05:43:34.677,-24.476352153055014
2023/02/12 05:43:34.802,-29.06102145816518
2023/02/12 05:43:34.943,-71.54652167591857
2023/02/12 05:43:35.077,-76.53202088909103
2023/02/12 05:43:35.212,-64.73020135525134
2023/02/12 05:43:35.338,-18.54085436840833
2023/02/12 05:43:35.474,-17.205649208338382
2023/02/12 05:43:35.601,-19.910039612941315
2023/02/12 05:43:35.739,-55.67832050703294
2023/02/12 05:43:35.865,-21.682687072704244
2023/02/12 05:43:35.990,-23.331130925682277
2023/02/12 05:43:36.128,-24.04356353152828
2023/02/12 05:43:36.261,-33.71588861761727
2023/02/12 05:43:36.396,-29.571476746969104
2023/02/12 05:43:36.524,-36.97065353141987
2023/02/12 05:43:36.662,-67.12702603951796
2023/02/12 05:43:36.800,-76.11561027519824
2023/02/12 05:43:36.927,-75.74705506455926
2023/02/12 05:43:37.055,-34.186312401259386
2023/02/12 05:43:37.192,-14.396253460459876
2023/02/12 05:43:37.328,-16.629290629749907
2023/02/12 05:43:37.464,-26.964698919200437
2023/02/12 05:43:37.592,-26.6262239717907
2023/02/12 05:43:37.723,-63.893469676354975
2023/02/12 05:43:37.856,-76.69929104338385
2023/02/12 05:43:37.990,-67.39517064346899
2023/02/12 05:43:38.129,-76.45841170179266
2023/02/12 05:43:38.257,-76.38051082401786
2023/02/12 05:43:38.395,-76.42015202176133
2023/02/12 05:43:38.522,-53.078201685471356
2023/02/12 05:43:38.661,-63.206100265344574
2023/02/12 05:43:38.788,-51.64031316283099
2023/02/12 05:43:38.927,-50.08052154248054
2023/02/12 05:43:39.051,-76.61117535549222
2023/02/12 05:43:39.179,-76.60881472047252
2023/02/12 05:43:39.306,-76.39583615299841
2023/02/12 05:43:39.444,-76.3768523990704
2023/02/12 05:43:39.574,-76.39643322544862
2023/02/12 05:43:39.707,-76.41290677636691
2023/02/12 05:43:39.841,-76.48052853704368
2023/02/12 05:43:39.978,-76.7242804189644
2023/02/12 05:43:40.115,-76.36886112785899
2023/02/12 05:43:40.242,-76.38885742549441
2023/02/12 05:43:40.379,-76.40325218307203
2023/02/12 05:43:40.508,-76.34786376691012
2023/02/12 05:43:40.634,-76.32584857472901
2023/02/12 05:43:40.770,-76.38353383713954
2023/02/12 05:43:40.898,-19.61033251074665
2023/02/12 05:43:41.025,-13.70120040580227
2023/02/12 05:43:41.163,-42.941352842161244
2023/02/12 05:43:41.289,-26.48684698469137
2023/02/12 05:43:41.427,-52.6822805966382
2023/02/12 05:43:41.555,-71.08600796884383
2023/02/12 05:43:41.692,-76.25064674546624
