時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:45:12.272,-76.11575567317556
2023/02/12 05:45:12.397,-73.48056632207984
2023/02/12 05:45:12.534,-73.48056632207984
2023/02/12 05:45:12.674,-73.46221512403474
2023/02/12 05:45:12.806,-73.43252512905505
2023/02/12 05:45:12.942,-73.45076015554218
2023/02/12 05:45:13.068,-73.45593035711688
2023/02/12 05:45:13.196,-65.4171016221357
2023/02/12 05:45:13.339,-73.83988907240186
2023/02/12 05:45:13.481,-73.78063880798886
2023/02/12 05:45:13.623,-58.185292998125135
2023/02/12 05:45:13.757,-74.2156127740281
2023/02/12 05:45:13.883,-73.52470178069454
2023/02/12 05:45:14.009,-73.40436981233205
2023/02/12 05:45:14.147,-62.946665173279435
2023/02/12 05:45:14.281,-74.2654416290465
2023/02/12 05:45:14.415,-73.85191382426041
2023/02/12 05:45:14.543,-73.4136658487068
2023/02/12 05:45:14.676,-73.47708980189906
2023/02/12 05:45:14.803,-73.49099102544201
2023/02/12 05:45:14.927,-73.88258132006138
2023/02/12 05:45:15.053,-51.00282319216035
2023/02/12 05:45:15.181,-36.11192832713591
2023/02/12 05:45:15.312,-58.66756721712068
2023/02/12 05:45:15.444,-58.81690264221912
2023/02/12 05:45:15.569,-70.26399371314335
2023/02/12 05:45:15.708,-73.99540429207694
2023/02/12 05:45:15.834,-73.69783389379043
2023/02/12 05:45:15.962,-73.4672429748583
2023/02/12 05:45:16.098,-73.4532449114475
2023/02/12 05:45:16.229,-73.48352668881458
2023/02/12 05:45:16.364,-73.45507540837417
2023/02/12 05:45:16.490,-73.44363995444787
2023/02/12 05:45:16.631,-46.251573694082005
2023/02/12 05:45:16.759,-46.251573694082005
2023/02/12 05:45:16.897,-47.78102884492628
2023/02/12 05:45:17.026,-72.76879125992158
2023/02/12 05:45:17.164,-72.1872904556893
2023/02/12 05:45:17.291,-52.77497193976296
2023/02/12 05:45:17.426,-47.25369042841271
2023/02/12 05:45:17.552,-38.762315056207505
2023/02/12 05:45:17.680,-41.65795846076496
2023/02/12 05:45:17.807,-47.85665561892031
2023/02/12 05:45:17.942,-45.496116808998366
2023/02/12 05:45:18.067,-59.98156639524367
2023/02/12 05:45:18.194,-57.83042110903982
2023/02/12 05:45:18.332,-73.7160313078808
2023/02/12 05:45:18.459,-43.37331985958035
2023/02/12 05:45:18.599,-42.41081870662755
2023/02/12 05:45:18.736,-40.194330906702575
2023/02/12 05:45:18.872,-59.04059309232771
2023/02/12 05:45:19.002,-55.360793721994085
2023/02/12 05:45:19.138,-73.44701685201392
2023/02/12 05:45:19.265,-73.44701685201392
2023/02/12 05:45:19.400,-31.82266099321911
2023/02/12 05:45:19.528,-40.7145229714763
2023/02/12 05:45:19.666,-43.98147785683889
2023/02/12 05:45:19.801,-45.93913761155807
2023/02/12 05:45:19.927,-34.15993837190027
2023/02/12 05:45:20.053,-25.63276969610326
2023/02/12 05:45:20.201,-29.09808764386048
2023/02/12 05:45:20.333,-36.27506166794308
2023/02/12 05:45:20.464,-31.469895841639666
2023/02/12 05:45:20.604,-38.17312488881412
2023/02/12 05:45:20.736,-47.606549527121544
2023/02/12 05:45:20.873,-33.77883425111003
2023/02/12 05:45:21.002,-51.92492249696076
2023/02/12 05:45:21.130,-34.33273040834066
2023/02/12 05:45:21.262,-35.63955211853288
2023/02/12 05:45:21.390,-46.027819478175296
2023/02/12 05:45:21.531,-67.93672592042552
2023/02/12 05:45:21.667,-52.03729208705315
2023/02/12 05:45:21.797,-28.49713171798963
2023/02/12 05:45:21.928,-27.25065979630445
2023/02/12 05:45:22.066,-26.928466541528433
2023/02/12 05:45:22.201,-18.907888447737115
2023/02/12 05:45:22.334,-35.9537512971182
2023/02/12 05:45:22.474,-36.03561140609466
2023/02/12 05:45:22.599,-67.20635339121215
2023/02/12 05:45:22.724,-67.24394676917404
2023/02/12 05:45:22.873,-55.032406227502065
2023/02/12 05:45:23.017,-25.968635824584922
2023/02/12 05:45:23.154,-42.60831452928184
2023/02/12 05:45:23.285,-35.16167272071678
2023/02/12 05:45:23.413,-37.648844211271296
2023/02/12 05:45:23.542,-29.0069536238971
2023/02/12 05:45:23.688,-43.58959705717265
2023/02/12 05:45:23.829,-42.910676948850124
2023/02/12 05:45:23.961,-32.77139412169729
2023/02/12 05:45:24.099,-35.33007102873998
2023/02/12 05:45:24.229,-54.15800158828038
2023/02/12 05:45:24.366,-33.8589203046145
2023/02/12 05:45:24.504,-42.205667475996485
2023/02/12 05:45:24.630,-68.4045393771172
2023/02/12 05:45:24.773,-67.50606354556365
2023/02/12 05:45:24.924,-20.82347424627924
2023/02/12 05:45:25.064,-49.13300768260336
2023/02/12 05:45:25.202,-29.445449087287457
