時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:45:50.773,-34.57591673993803
2023/02/12 05:45:50.911,-72.9509527172807
2023/02/12 05:45:51.037,-72.94821238193123
2023/02/12 05:45:51.171,-72.977578124291
2023/02/12 05:45:51.307,-72.90386166788085
2023/02/12 05:45:51.445,-62.936009135112165
2023/02/12 05:45:51.582,-73.01608594337003
2023/02/12 05:45:51.709,-72.94129129042383
2023/02/12 05:45:51.837,-73.01911790301865
2023/02/12 05:45:51.963,-47.7859606381506
2023/02/12 05:45:52.101,-60.7687529663794
2023/02/12 05:45:52.230,-72.79190667339915
2023/02/12 05:45:52.367,-42.68716050645396
2023/02/12 05:45:52.496,-47.787814322634674
2023/02/12 05:45:52.631,-68.44138662531839
2023/02/12 05:45:52.764,-72.62199268624346
2023/02/12 05:45:52.898,-73.1323072655761
2023/02/12 05:45:53.036,-45.19737923346408
2023/02/12 05:45:53.162,-62.25071475002434
2023/02/12 05:45:53.301,-72.8896400374161
2023/02/12 05:45:53.431,-54.380892109715816
2023/02/12 05:45:53.571,-44.84502057261149
2023/02/12 05:45:53.697,-36.22683868706817
2023/02/12 05:45:53.834,-41.16370997041854
2023/02/12 05:45:53.960,-41.95814787936739
2023/02/12 05:45:54.098,-51.215916577083895
2023/02/12 05:45:54.228,-59.625866028737605
2023/02/12 05:45:54.366,-63.63761829049464
2023/02/12 05:45:54.493,-72.5618152687236
2023/02/12 05:45:54.632,-72.96035446210182
2023/02/12 05:45:54.764,-72.84845663310756
2023/02/12 05:45:54.895,-72.87410687846246
2023/02/12 05:45:55.021,-72.97844285864724
2023/02/12 05:45:55.151,-65.3656398500451
2023/02/12 05:45:55.288,-32.988490366917226
2023/02/12 05:45:55.427,-30.666539837523242
2023/02/12 05:45:55.567,-37.76415950404525
2023/02/12 05:45:55.694,-50.13528533712367
2023/02/12 05:45:55.832,-70.2758999249494
2023/02/12 05:45:55.959,-70.33227390283366
2023/02/12 05:45:56.098,-50.38327180401794
2023/02/12 05:45:56.234,-34.73698040960314
2023/02/12 05:45:56.371,-37.81421839238548
2023/02/12 05:45:56.507,-43.34129923532136
2023/02/12 05:45:56.634,-55.171283766106434
2023/02/12 05:45:56.760,-35.08304583064149
2023/02/12 05:45:56.898,-35.555219971623224
2023/02/12 05:45:57.035,-29.07147640972042
2023/02/12 05:45:57.165,-41.064138794930294
2023/02/12 05:45:57.304,-67.64752055735072
2023/02/12 05:45:57.443,-38.99496604290584
2023/02/12 05:45:57.569,-65.72647449288982
2023/02/12 05:45:57.698,-69.07813384613286
2023/02/12 05:45:57.834,-43.136380953035825
2023/02/12 05:45:57.974,-22.832943436944582
2023/02/12 05:45:58.101,-30.76165388216438
2023/02/12 05:45:58.232,-35.99375315950772
2023/02/12 05:45:58.366,-38.541747415220556
2023/02/12 05:45:58.495,-25.122553292181674
2023/02/12 05:45:58.632,-21.50603959437936
2023/02/12 05:45:58.765,-26.144343747795574
2023/02/12 05:45:58.901,-22.53785913896017
2023/02/12 05:45:59.043,-37.58282442909348
2023/02/12 05:45:59.168,-40.01847403520138
2023/02/12 05:45:59.302,-34.434388754255366
2023/02/12 05:45:59.427,-46.18973303715226
2023/02/12 05:45:59.552,-29.014094622414003
2023/02/12 05:45:59.679,-30.569789769332964
2023/02/12 05:45:59.818,-44.178479337987426
2023/02/12 05:45:59.947,-65.95635533149351
2023/02/12 05:46:00.083,-67.91174669400665
2023/02/12 05:46:00.211,-39.40435591462949
2023/02/12 05:46:00.351,-20.589986552928835
2023/02/12 05:46:00.482,-22.717276388908566
2023/02/12 05:46:00.618,-24.05589290074692
2023/02/12 05:46:00.755,-21.947363886131022
2023/02/12 05:46:00.881,-36.53297175502106
2023/02/12 05:46:01.010,-29.09645180991914
2023/02/12 05:46:01.145,-35.236341524993364
2023/02/12 05:46:01.270,-42.991433593858005
2023/02/12 05:46:01.397,-38.444586785365594
2023/02/12 05:46:01.538,-32.729844326374256
2023/02/12 05:46:01.665,-38.23085170238927
2023/02/12 05:46:01.803,-58.34743048365611
2023/02/12 05:46:01.942,-21.41469023666177
2023/02/12 05:46:02.078,-43.698121232881675
2023/02/12 05:46:02.214,-38.511224332152764
2023/02/12 05:46:02.348,-34.229783395933296
2023/02/12 05:46:02.488,-42.697951582016735
2023/02/12 05:46:02.614,-40.92271777560262
2023/02/12 05:46:02.742,-67.96885772577592
2023/02/12 05:46:02.867,-37.07001685666385
2023/02/12 05:46:02.998,-27.44506800158263
2023/02/12 05:46:03.132,-30.779622834138202
2023/02/12 05:46:03.263,-24.692693458271286
2023/02/12 05:46:03.396,-22.676252032190924
2023/02/12 05:46:03.520,-34.34659299836667
2023/02/12 05:46:03.650,-67.97017199226283
2023/02/12 05:46:03.787,-67.94611475210397
