時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:46:21.832,-67.92223832302992
2023/02/12 05:46:21.958,-73.43255315440936
2023/02/12 05:46:22.086,-73.43255315440936
2023/02/12 05:46:22.216,-73.35474074798057
2023/02/12 05:46:22.347,-73.42542676868527
2023/02/12 05:46:22.482,-73.39175164040468
2023/02/12 05:46:22.615,-73.41472294330623
2023/02/12 05:46:22.742,-73.36306263492847
2023/02/12 05:46:22.867,-73.3810646820215
2023/02/12 05:46:23.009,-73.40283164073689
2023/02/12 05:46:23.145,-73.42190810192626
2023/02/12 05:46:23.273,-73.41069786077017
2023/02/12 05:46:23.402,-73.40850097267236
2023/02/12 05:46:23.532,-73.34784039730945
2023/02/12 05:46:23.675,-73.30967313622497
2023/02/12 05:46:23.809,-73.34455170111802
2023/02/12 05:46:23.944,-73.34547190405569
2023/02/12 05:46:24.070,-73.48570243897109
2023/02/12 05:46:24.202,-73.38618156888182
2023/02/12 05:46:24.332,-73.41721818970467
2023/02/12 05:46:24.465,-73.39179802145492
2023/02/12 05:46:24.590,-73.383423243616
2023/02/12 05:46:24.716,-73.4186002223698
2023/02/12 05:46:24.851,-57.85086447377306
2023/02/12 05:46:24.998,-67.56042955081269
2023/02/12 05:46:25.136,-73.56001668529426
2023/02/12 05:46:25.273,-73.73711678546076
2023/02/12 05:46:25.411,-73.34623951697031
2023/02/12 05:46:25.541,-73.45495735280375
2023/02/12 05:46:25.676,-73.21535521142587
2023/02/12 05:46:25.810,-72.93112429966212
2023/02/12 05:46:25.945,-73.32190339986023
2023/02/12 05:46:26.076,-73.43085441953157
2023/02/12 05:46:26.212,-73.39598066289933
2023/02/12 05:46:26.336,-73.39598066289933
2023/02/12 05:46:26.476,-73.40547006881958
2023/02/12 05:46:26.601,-73.41087360847483
2023/02/12 05:46:26.741,-49.51453159009499
2023/02/12 05:46:26.867,-73.45177911007598
2023/02/12 05:46:27.005,-73.64976687508027
2023/02/12 05:46:27.134,-59.108230079173424
2023/02/12 05:46:27.273,-69.43858486231353
2023/02/12 05:46:27.411,-73.91170558405624
2023/02/12 05:46:27.543,-73.54903381199438
2023/02/12 05:46:27.669,-73.52038800069798
2023/02/12 05:46:27.806,-73.65386903043785
2023/02/12 05:46:27.934,-50.557431212746515
2023/02/12 05:46:28.062,-70.22911692322558
2023/02/12 05:46:28.187,-43.83127458296532
2023/02/12 05:46:28.319,-57.15025612721324
2023/02/12 05:46:28.468,-71.1812022128749
2023/02/12 05:46:28.605,-73.88312456127441
2023/02/12 05:46:28.743,-73.5092494762878
2023/02/12 05:46:28.881,-56.99569711891712
2023/02/12 05:46:29.015,-43.64104439921412
2023/02/12 05:46:29.158,-40.19386962037504
2023/02/12 05:46:29.286,-51.19438963634059
2023/02/12 05:46:29.414,-55.15419543942774
2023/02/12 05:46:29.552,-30.470618398506684
2023/02/12 05:46:29.677,-41.26676097671695
2023/02/12 05:46:29.806,-48.820005117336805
2023/02/12 05:46:29.934,-41.16755793706781
2023/02/12 05:46:30.073,-43.86824830184434
2023/02/12 05:46:30.209,-56.53876873201313
2023/02/12 05:46:30.337,-60.23647491867381
2023/02/12 05:46:30.470,-54.96582833060035
2023/02/12 05:46:30.608,-35.90969718042195
2023/02/12 05:46:30.735,-52.6447794390794
2023/02/12 05:46:30.864,-73.86801100237375
2023/02/12 05:46:30.991,-72.1717707927591
2023/02/12 05:46:31.117,-73.26770847935788
2023/02/12 05:46:31.258,-73.4437013582874
2023/02/12 05:46:31.388,-73.38478059276878
2023/02/12 05:46:31.522,-63.66991389222499
2023/02/12 05:46:31.648,-42.419098427572834
2023/02/12 05:46:31.774,-38.989001958952954
2023/02/12 05:46:31.912,-43.38033194295629
2023/02/12 05:46:32.060,-37.9483824739181
2023/02/12 05:46:32.193,-58.40924801371156
2023/02/12 05:46:32.323,-41.80407842805609
2023/02/12 05:46:32.461,-35.97348196638932
2023/02/12 05:46:32.599,-67.78227729236364
2023/02/12 05:46:32.741,-55.05540836019029
2023/02/12 05:46:32.865,-50.194723928731804
2023/02/12 05:46:32.990,-48.14312666805843
2023/02/12 05:46:33.130,-59.8163651757178
2023/02/12 05:46:33.255,-72.8382319741523
2023/02/12 05:46:33.382,-39.42213542250644
2023/02/12 05:46:33.507,-51.69704713530065
2023/02/12 05:46:33.633,-56.086905247182216
2023/02/12 05:46:33.766,-49.47216273539784
2023/02/12 05:46:33.902,-49.791974229031794
2023/02/12 05:46:34.037,-56.4184663393693
2023/02/12 05:46:34.164,-73.10005841413577
2023/02/12 05:46:34.301,-50.27758335281682
2023/02/12 05:46:34.438,-40.17286655123484
2023/02/12 05:46:34.577,-55.6317703026658
2023/02/12 05:46:34.713,-42.479097491496766
2023/02/12 05:46:34.850,-72.81916349819566
2023/02/12 05:46:34.988,-73.0100969720176
2023/02/12 05:46:35.119,-73.05754868576909
