時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:46:54.958,-52.42645962296073
2023/02/12 05:46:55.084,-75.8590940099825
2023/02/12 05:46:55.214,-75.85553892999069
2023/02/12 05:46:55.348,-76.44120869482755
2023/02/12 05:46:55.478,-76.28495201470345
2023/02/12 05:46:55.614,-76.28458398418078
2023/02/12 05:46:55.763,-76.2692256352137
2023/02/12 05:46:55.902,-76.43683244988063
2023/02/12 05:46:56.037,-76.36300403492625
2023/02/12 05:46:56.165,-74.78356713935968
2023/02/12 05:46:56.301,-74.85156836930261
2023/02/12 05:46:56.436,-74.72274884635334
2023/02/12 05:46:56.575,-76.18628195311678
2023/02/12 05:46:56.711,-76.37780581611321
2023/02/12 05:46:56.848,-76.29756984709418
2023/02/12 05:46:56.984,-76.29825782438235
2023/02/12 05:46:57.116,-76.27066139833255
2023/02/12 05:46:57.255,-76.24275846634565
2023/02/12 05:46:57.385,-76.2544941566631
2023/02/12 05:46:57.514,-76.24017589943782
2023/02/12 05:46:57.647,-76.30558225049839
2023/02/12 05:46:57.785,-76.301513136243
2023/02/12 05:46:57.917,-76.34230611139623
2023/02/12 05:46:58.057,-76.20117563255343
2023/02/12 05:46:58.184,-76.33289161279656
2023/02/12 05:46:58.320,-76.03645233220001
2023/02/12 05:46:58.458,-76.38872170733077
2023/02/12 05:46:58.585,-76.34620774233603
2023/02/12 05:46:58.754,-76.28158576138804
2023/02/12 05:46:58.881,-76.24378092923199
2023/02/12 05:46:59.029,-76.33427188697758
2023/02/12 05:46:59.156,-76.3458245703036
2023/02/12 05:46:59.305,-76.29978327031571
2023/02/12 05:46:59.432,-76.24423456952223
2023/02/12 05:46:59.570,-76.28263777322901
2023/02/12 05:46:59.696,-76.29787484202275
2023/02/12 05:46:59.822,-76.3208930689067
2023/02/12 05:46:59.947,-76.26277030767773
2023/02/12 05:47:00.085,-76.27160696412295
2023/02/12 05:47:00.225,-76.37621628522795
2023/02/12 05:47:00.365,-76.38595360729265
2023/02/12 05:47:00.505,-76.27906873377013
2023/02/12 05:47:00.632,-76.28102375825539
2023/02/12 05:47:00.770,-76.32248732842416
2023/02/12 05:47:00.896,-76.29995746085848
2023/02/12 05:47:01.037,-76.36877722264128
2023/02/12 05:47:01.170,-76.34271022765722
2023/02/12 05:47:01.302,-76.32874399647656
2023/02/12 05:47:01.429,-76.33806053401679
2023/02/12 05:47:01.558,-76.29201597112055
2023/02/12 05:47:01.685,-76.3331257813251
2023/02/12 05:47:01.822,-76.30091962727978
2023/02/12 05:47:01.948,-75.31552660010821
2023/02/12 05:47:02.085,-76.43294285810055
2023/02/12 05:47:02.225,-76.31694864335752
2023/02/12 05:47:02.364,-76.18417297824924
2023/02/12 05:47:02.490,-67.54100007482543
2023/02/12 05:47:02.630,-76.36146919807847
2023/02/12 05:47:02.770,-76.33905057008963
2023/02/12 05:47:02.899,-62.721259009539224
2023/02/12 05:47:03.026,-75.60167093475816
2023/02/12 05:47:03.161,-75.83313019285002
2023/02/12 05:47:03.287,-76.4262707039465
2023/02/12 05:47:03.416,-75.5844205533937
2023/02/12 05:47:03.551,-76.41888615138622
2023/02/12 05:47:03.683,-75.28810970608353
2023/02/12 05:47:03.819,-62.68838177469014
2023/02/12 05:47:03.946,-75.39319984115649
2023/02/12 05:47:04.072,-76.26313215738735
2023/02/12 05:47:04.200,-76.26313215738735
2023/02/12 05:47:04.334,-63.84665873804665
2023/02/12 05:47:04.477,-63.84665873804665
2023/02/12 05:47:04.614,-49.780749512725194
2023/02/12 05:47:04.756,-53.329829030700104
2023/02/12 05:47:04.883,-49.10838679720112
2023/02/12 05:47:05.022,-58.14833427997154
2023/02/12 05:47:05.147,-59.52493317397363
2023/02/12 05:47:05.286,-43.94361836822092
2023/02/12 05:47:05.417,-64.16325546817895
2023/02/12 05:47:05.551,-75.39940309954939
2023/02/12 05:47:05.684,-48.680151511833536
2023/02/12 05:47:05.821,-62.453782757520635
2023/02/12 05:47:05.949,-52.15790851700432
2023/02/12 05:47:06.083,-54.494842438607954
2023/02/12 05:47:06.208,-51.29842349032949
2023/02/12 05:47:06.334,-57.000065829082835
2023/02/12 05:47:06.475,-74.03596823427105
2023/02/12 05:47:06.600,-46.60280363092288
2023/02/12 05:47:06.744,-66.12734595703412
2023/02/12 05:47:06.882,-76.34106981174268
2023/02/12 05:47:07.020,-76.37760836728488
2023/02/12 05:47:07.146,-49.691616664645494
2023/02/12 05:47:07.271,-46.24152189629334
2023/02/12 05:47:07.411,-58.90865389363598
2023/02/12 05:47:07.537,-53.50507406047723
2023/02/12 05:47:07.665,-52.61954882403284
2023/02/12 05:47:07.802,-59.0585898246714
2023/02/12 05:47:07.936,-76.60024381224014
