時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:48:00.695,-76.332745926551
2023/02/12 05:48:00.823,-73.14459426151664
2023/02/12 05:48:00.967,-63.45689858396547
2023/02/12 05:48:01.100,-73.61989543633517
2023/02/12 05:48:01.239,-73.6297508076452
2023/02/12 05:48:01.365,-73.7253919453496
2023/02/12 05:48:01.508,-73.40018204348081
2023/02/12 05:48:01.646,-39.79502245682507
2023/02/12 05:48:01.774,-38.3163499156086
2023/02/12 05:48:01.904,-54.69242002231216
2023/02/12 05:48:02.040,-40.26585749233626
2023/02/12 05:48:02.177,-37.125430874825994
2023/02/12 05:48:02.306,-12.662217788515218
2023/02/12 05:48:02.432,-12.662217788515218
2023/02/12 05:48:02.570,-20.028129750850134
2023/02/12 05:48:02.704,-20.028129750850134
2023/02/12 05:48:02.839,-20.117397405013932
2023/02/12 05:48:02.976,-19.62122273054278
2023/02/12 05:48:03.114,-21.961721580128845
2023/02/12 05:48:03.255,-23.29594637602473
2023/02/12 05:48:03.380,-29.491721228988666
2023/02/12 05:48:03.506,-44.90195686911953
2023/02/12 05:48:03.646,-15.537285095051036
2023/02/12 05:48:03.772,-31.18977625920358
2023/02/12 05:48:03.905,-53.86800065059012
2023/02/12 05:48:04.040,-17.019114705527148
2023/02/12 05:48:04.169,-42.125741887247116
2023/02/12 05:48:04.304,-39.985116169812976
2023/02/12 05:48:04.438,-39.985116169812976
2023/02/12 05:48:04.576,-24.14428912022545
2023/02/12 05:48:04.709,-28.829850074651887
2023/02/12 05:48:04.838,-19.13293461528635
2023/02/12 05:48:04.976,-45.729640554258815
2023/02/12 05:48:05.116,-62.319839888393005
2023/02/12 05:48:05.241,-61.96091525966455
2023/02/12 05:48:05.367,-58.36852593673299
2023/02/12 05:48:05.493,-21.076000610874075
2023/02/12 05:48:05.631,-35.814042529992406
2023/02/12 05:48:05.758,-27.424250652137694
2023/02/12 05:48:05.884,-20.14002536753373
2023/02/12 05:48:06.011,-22.834353582094145
2023/02/12 05:48:06.136,-51.01899385707967
2023/02/12 05:48:06.277,-16.819621924424375
2023/02/12 05:48:06.401,-53.84923266006619
2023/02/12 05:48:06.532,-50.68974182819707
2023/02/12 05:48:06.656,-68.0763535279622
2023/02/12 05:48:06.788,-62.26896135243752
2023/02/12 05:48:06.915,-13.5099439054732
2023/02/12 05:48:07.057,-18.799315626037554
2023/02/12 05:48:07.182,-21.578995557090465
2023/02/12 05:48:07.309,-39.3366927688703
2023/02/12 05:48:07.435,-29.66631613552078
2023/02/12 05:48:07.568,-14.68313230265174
2023/02/12 05:48:07.693,-21.410055749796566
2023/02/12 05:48:07.819,-25.32518297041806
2023/02/12 05:48:07.959,-43.00786405402748
2023/02/12 05:48:08.098,-16.67578511572412
2023/02/12 05:48:08.225,-50.375710223682084
2023/02/12 05:48:08.351,-63.057212928275526
2023/02/12 05:48:08.492,-71.47184350916687
2023/02/12 05:48:08.619,-75.62034708303521
2023/02/12 05:48:08.755,-24.329613912093137
2023/02/12 05:48:08.886,-18.116282564388392
2023/02/12 05:48:09.024,-14.088259221724739
2023/02/12 05:48:09.153,-23.454912291527748
2023/02/12 05:48:09.287,-25.526349613141683
2023/02/12 05:48:09.413,-50.630868151420856
2023/02/12 05:48:09.539,-64.47279601701558
2023/02/12 05:48:09.665,-71.70678082555864
2023/02/12 05:48:09.790,-75.74422587729691
2023/02/12 05:48:09.929,-75.63904275431476
2023/02/12 05:48:10.056,-76.22040176479283
2023/02/12 05:48:10.183,-53.35955452745277
2023/02/12 05:48:10.309,-47.01970570088794
2023/02/12 05:48:10.437,-66.94011745359587
2023/02/12 05:48:10.571,-71.28136779103184
2023/02/12 05:48:10.709,-76.00029289448516
2023/02/12 05:48:10.849,-76.0145796022225
2023/02/12 05:48:10.975,-76.11330133792492
2023/02/12 05:48:11.114,-76.3947112859578
2023/02/12 05:48:11.240,-76.37474854440933
2023/02/12 05:48:11.383,-76.39067112118595
2023/02/12 05:48:11.508,-76.07090813004137
2023/02/12 05:48:11.646,-76.3947171248449
2023/02/12 05:48:11.776,-76.36157130355566
2023/02/12 05:48:11.900,-76.37183735149355
2023/02/12 05:48:12.028,-76.38586718129008
2023/02/12 05:48:12.153,-64.65604031595288
2023/02/12 05:48:12.288,-73.76277523242551
2023/02/12 05:48:12.415,-67.276839953838
2023/02/12 05:48:12.553,-76.36567685379936
2023/02/12 05:48:12.679,-76.35736419785385
2023/02/12 05:48:12.807,-76.46252065606737
2023/02/12 05:48:12.933,-49.08062864360404
2023/02/12 05:48:13.059,-13.560912241793284
2023/02/12 05:48:13.185,-40.047601740776315
2023/02/12 05:48:13.319,-40.047601740776315
2023/02/12 05:48:13.459,-66.2901930136891
2023/02/12 05:48:13.586,-74.24010031562882
2023/02/12 05:48:13.724,-76.4301966587229
