時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:49:23.808,-76.2421684287821
2023/02/12 05:49:23.933,-76.2421684287821
2023/02/12 05:49:24.069,-71.4270527102238
2023/02/12 05:49:24.202,-71.42023827833125
2023/02/12 05:49:24.336,-71.49268005156615
2023/02/12 05:49:24.475,-71.48938517478791
2023/02/12 05:49:24.607,-71.60345123661443
2023/02/12 05:49:24.744,-71.67726409484565
2023/02/12 05:49:24.882,-71.43778876144201
2023/02/12 05:49:25.022,-71.49099741793833
2023/02/12 05:49:25.147,-71.4333834530757
2023/02/12 05:49:25.272,-71.44669039032809
2023/02/12 05:49:25.399,-71.47411014997948
2023/02/12 05:49:25.526,-71.47076576732476
2023/02/12 05:49:25.664,-71.53949431716818
2023/02/12 05:49:25.789,-71.41287787676669
2023/02/12 05:49:25.927,-71.5691663090386
2023/02/12 05:49:26.058,-71.46280576797325
2023/02/12 05:49:26.184,-71.46625207708722
2023/02/12 05:49:26.319,-71.46681555985236
2023/02/12 05:49:26.445,-71.48982984805549
2023/02/12 05:49:26.573,-71.48982984805549
2023/02/12 05:49:26.700,-65.3554486551437
2023/02/12 05:49:26.838,-71.80120933529908
2023/02/12 05:49:26.975,-71.57898118293164
2023/02/12 05:49:27.101,-71.4604004339718
2023/02/12 05:49:27.240,-71.44626099598688
2023/02/12 05:49:27.365,-71.44214859347302
2023/02/12 05:49:27.492,-71.46206491584117
2023/02/12 05:49:27.619,-71.45788218471583
2023/02/12 05:49:27.750,-71.47015637396058
2023/02/12 05:49:27.885,-71.49791064489486
2023/02/12 05:49:28.023,-71.47236383843557
2023/02/12 05:49:28.164,-71.44055595027618
2023/02/12 05:49:28.304,-71.46763415843806
2023/02/12 05:49:28.429,-71.46771884911215
2023/02/12 05:49:28.569,-71.96864690132863
2023/02/12 05:49:28.694,-71.50469421061545
2023/02/12 05:49:28.823,-71.43868181502017
2023/02/12 05:49:28.961,-71.38941090755705
2023/02/12 05:49:29.099,-71.46609862445843
2023/02/12 05:49:29.225,-71.34862785646781
2023/02/12 05:49:29.356,-71.45086276049273
2023/02/12 05:49:29.494,-71.58766376984639
2023/02/12 05:49:29.631,-71.50267362285064
2023/02/12 05:49:29.758,-71.44842362118096
2023/02/12 05:49:29.884,-71.42095335843345
2023/02/12 05:49:30.022,-71.46911405893518
2023/02/12 05:49:30.147,-71.45652597829866
2023/02/12 05:49:30.275,-71.48765296093507
2023/02/12 05:49:30.399,-71.48040465290688
2023/02/12 05:49:30.525,-71.61517970791886
2023/02/12 05:49:30.663,-71.37933003241103
2023/02/12 05:49:30.789,-71.65702667847106
2023/02/12 05:49:30.918,-71.59643059364588
2023/02/12 05:49:31.054,-71.46140441756019
2023/02/12 05:49:31.181,-71.49770998050568
2023/02/12 05:49:31.319,-71.55276190308798
2023/02/12 05:49:31.445,-71.6068272900739
2023/02/12 05:49:31.584,-71.74159982393837
2023/02/12 05:49:31.718,-71.53205712086574
2023/02/12 05:49:31.852,-71.73432719752515
2023/02/12 05:49:31.977,-71.56204317820153
2023/02/12 05:49:32.115,-71.56963926537355
2023/02/12 05:49:32.247,-71.54806419640488
2023/02/12 05:49:32.381,-70.34796513146493
2023/02/12 05:49:32.507,-70.32860539757132
2023/02/12 05:49:32.646,-70.3417348463296
2023/02/12 05:49:32.772,-71.38934551779771
2023/02/12 05:49:32.898,-71.54529396239477
2023/02/12 05:49:33.038,-71.58233101757487
2023/02/12 05:49:33.164,-71.4839102529003
2023/02/12 05:49:33.288,-71.48169917495464
2023/02/12 05:49:33.416,-71.45714866440025
2023/02/12 05:49:33.553,-71.44709252708279
2023/02/12 05:49:33.681,-58.64548845180763
2023/02/12 05:49:33.824,-71.45079700947184
2023/02/12 05:49:33.950,-67.96718074187021
2023/02/12 05:49:34.083,-71.84151717282239
2023/02/12 05:49:34.215,-71.63540597113625
2023/02/12 05:49:34.352,-71.5716500680158
2023/02/12 05:49:34.483,-71.43072695480092
2023/02/12 05:49:34.615,-71.4390629408501
2023/02/12 05:49:34.742,-71.42031235596892
2023/02/12 05:49:34.868,-71.39731621526599
2023/02/12 05:49:34.999,-71.42279516629615
2023/02/12 05:49:35.131,-71.4548388855742
2023/02/12 05:49:35.257,-71.58202501303236
2023/02/12 05:49:35.382,-71.40110540573242
2023/02/12 05:49:35.507,-71.49168249429012
2023/02/12 05:49:35.646,-71.44505247872108
2023/02/12 05:49:35.774,-71.40941940558933
2023/02/12 05:49:35.904,-71.43708510354118
2023/02/12 05:49:36.039,-71.43836614237271
2023/02/12 05:49:36.168,-71.7110657080574
2023/02/12 05:49:36.302,-71.45493483197937
2023/02/12 05:49:36.437,-71.5211041597117
2023/02/12 05:49:36.568,-71.4429525104007
2023/02/12 05:49:36.698,-71.3967463512154
2023/02/12 05:49:36.835,-71.40282144931936
