時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:49:59.393,-71.44592754242821
2023/02/12 05:49:59.530,-76.41185937608105
2023/02/12 05:49:59.664,-76.34871661735406
2023/02/12 05:49:59.789,-76.41272702122788
2023/02/12 05:49:59.916,-72.67559627970424
2023/02/12 05:50:00.054,-76.35825692066747
2023/02/12 05:50:00.180,-76.36213622748342
2023/02/12 05:50:00.319,-76.31908679187809
2023/02/12 05:50:00.446,-76.32720977968056
2023/02/12 05:50:00.584,-75.20619797424051
2023/02/12 05:50:00.710,-70.49349674230342
2023/02/12 05:50:00.836,-76.39386945488249
2023/02/12 05:50:00.962,-76.37276646741823
2023/02/12 05:50:01.106,-72.83578498497575
2023/02/12 05:50:01.236,-75.99333221314603
2023/02/12 05:50:01.375,-76.31481460504317
2023/02/12 05:50:01.513,-76.39516649897533
2023/02/12 05:50:01.646,-76.24638075092521
2023/02/12 05:50:01.773,-76.34316776541061
2023/02/12 05:50:01.901,-76.35565595273721
2023/02/12 05:50:02.038,-76.34506990173402
2023/02/12 05:50:02.164,-76.34597817523344
2023/02/12 05:50:02.304,-76.39257164476044
2023/02/12 05:50:02.430,-76.36579411838048
2023/02/12 05:50:02.571,-76.37204594620064
2023/02/12 05:50:02.701,-73.44527324233637
2023/02/12 05:50:02.843,-76.22618898104238
2023/02/12 05:50:02.979,-75.78513139288268
2023/02/12 05:50:03.118,-76.38546546867478
2023/02/12 05:50:03.257,-76.37488304699856
2023/02/12 05:50:03.383,-76.34340558297393
2023/02/12 05:50:03.510,-76.3346401510129
2023/02/12 05:50:03.650,-76.36947977206508
2023/02/12 05:50:03.788,-76.32753395317604
2023/02/12 05:50:03.928,-76.36318932829985
2023/02/12 05:50:04.054,-76.35835738507207
2023/02/12 05:50:04.194,-76.36793263635795
2023/02/12 05:50:04.320,-76.34618092953069
2023/02/12 05:50:04.449,-76.3700895003841
2023/02/12 05:50:04.584,-76.30603180048382
2023/02/12 05:50:04.714,-76.36658129194794
2023/02/12 05:50:04.852,-76.29867890251909
2023/02/12 05:50:04.984,-76.37232715910946
2023/02/12 05:50:05.119,-76.27962271504694
2023/02/12 05:50:05.255,-76.39250757841596
2023/02/12 05:50:05.388,-76.33264068241816
2023/02/12 05:50:05.521,-76.36915406611595
2023/02/12 05:50:05.649,-76.36915406611595
2023/02/12 05:50:05.778,-76.35028816931393
2023/02/12 05:50:05.914,-76.32740002436337
2023/02/12 05:50:06.054,-76.38914477586982
2023/02/12 05:50:06.178,-76.3705288534019
2023/02/12 05:50:06.305,-76.25634263763962
2023/02/12 05:50:06.431,-76.35175260055853
2023/02/12 05:50:06.569,-76.37747769634339
2023/02/12 05:50:06.700,-76.35890209023269
2023/02/12 05:50:06.839,-76.34176209443658
2023/02/12 05:50:06.965,-76.35530468208361
2023/02/12 05:50:07.103,-76.38076054894951
2023/02/12 05:50:07.228,-76.40447548114308
2023/02/12 05:50:07.365,-76.37360170720763
2023/02/12 05:50:07.491,-76.38259361511031
2023/02/12 05:50:07.616,-76.3840293063547
2023/02/12 05:50:07.757,-76.40059068376952
2023/02/12 05:50:07.882,-76.38340051969027
2023/02/12 05:50:08.008,-76.38589988165711
2023/02/12 05:50:08.135,-76.36113906960672
2023/02/12 05:50:08.274,-76.36661518638806
2023/02/12 05:50:08.414,-76.37960683190015
2023/02/12 05:50:08.539,-76.38367840684693
2023/02/12 05:50:08.667,-76.40579100162414
2023/02/12 05:50:08.803,-76.38211046266147
2023/02/12 05:50:08.929,-75.93398631857488
2023/02/12 05:50:09.053,-76.37800914528931
2023/02/12 05:50:09.193,-76.34026662489073
2023/02/12 05:50:09.318,-76.38306533300063
2023/02/12 05:50:09.454,-76.36910082711866
2023/02/12 05:50:09.587,-76.38247155913218
2023/02/12 05:50:09.713,-76.33768912470619
2023/02/12 05:50:09.849,-76.42206697724762
2023/02/12 05:50:09.976,-76.33815860499385
2023/02/12 05:50:10.102,-76.41829657616917
2023/02/12 05:50:10.229,-76.41764440053343
2023/02/12 05:50:10.366,-76.37671120895217
2023/02/12 05:50:10.506,-76.37998216755766
2023/02/12 05:50:10.635,-76.3569461966305
2023/02/12 05:50:10.763,-76.38774059558455
2023/02/12 05:50:10.890,-76.37643598306522
2023/02/12 05:50:11.016,-76.38488894901283
2023/02/12 05:50:11.147,-76.38488894901283
2023/02/12 05:50:11.276,-76.3644593331877
2023/02/12 05:50:11.413,-76.39312280521888
2023/02/12 05:50:11.538,-76.3376180017708
2023/02/12 05:50:11.678,-76.40402550371716
2023/02/12 05:50:11.804,-76.3276454703275
2023/02/12 05:50:11.933,-76.39388019182044
2023/02/12 05:50:12.070,-76.37948116533504
2023/02/12 05:50:12.199,-76.36408828171155
2023/02/12 05:50:12.335,-76.37916093609248
