時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:50:33.290,-76.28583776284377
2023/02/12 05:50:33.414,-76.33890368232561
2023/02/12 05:50:33.544,-76.33890368232561
2023/02/12 05:50:33.684,-76.3617905886305
2023/02/12 05:50:33.815,-76.39019260906908
2023/02/12 05:50:33.949,-76.3757981654632
2023/02/12 05:50:34.080,-76.24029894831426
2023/02/12 05:50:34.218,-76.30623234283294
2023/02/12 05:50:34.356,-76.34388092883263
2023/02/12 05:50:34.493,-76.252217335379
2023/02/12 05:50:34.618,-76.38127130367377
2023/02/12 05:50:34.756,-76.33976379778073
2023/02/12 05:50:34.884,-76.29444832268527
2023/02/12 05:50:35.023,-76.39148881147604
2023/02/12 05:50:35.149,-76.36178259169859
2023/02/12 05:50:35.274,-76.35139699073697
2023/02/12 05:50:35.401,-76.32616247601824
2023/02/12 05:50:35.528,-76.33156522783733
2023/02/12 05:50:35.667,-76.2805223004929
2023/02/12 05:50:35.802,-76.40481607099348
2023/02/12 05:50:35.927,-74.83411716578588
2023/02/12 05:50:36.054,-74.85752547931597
2023/02/12 05:50:36.179,-74.77228746928871
2023/02/12 05:50:36.314,-76.31775952874375
2023/02/12 05:50:36.444,-76.33629848969755
2023/02/12 05:50:36.571,-76.26316751727441
2023/02/12 05:50:36.699,-76.28801234975137
2023/02/12 05:50:36.826,-76.27764732326793
2023/02/12 05:50:36.959,-76.36585688708226
2023/02/12 05:50:37.086,-76.34970148727169
2023/02/12 05:50:37.226,-76.3413788734433
2023/02/12 05:50:37.352,-76.40868496254633
2023/02/12 05:50:37.478,-76.33542616648577
2023/02/12 05:50:37.615,-76.36767436677539
2023/02/12 05:50:37.746,-76.33188530398256
2023/02/12 05:50:37.881,-76.3886632493343
2023/02/12 05:50:38.023,-76.37761483154219
2023/02/12 05:50:38.162,-76.34719215466728
2023/02/12 05:50:38.291,-76.40079719397845
2023/02/12 05:50:38.429,-76.24402197765679
2023/02/12 05:50:38.560,-76.36232566695935
2023/02/12 05:50:38.694,-76.30145575002507
2023/02/12 05:50:38.833,-76.34742559704179
2023/02/12 05:50:38.959,-76.20856732056117
2023/02/12 05:50:39.086,-76.28339360415427
2023/02/12 05:50:39.214,-76.34211420025885
2023/02/12 05:50:39.351,-76.35748994337088
2023/02/12 05:50:39.481,-76.38453342689769
2023/02/12 05:50:39.617,-76.26133914009299
2023/02/12 05:50:39.744,-76.36441574434089
2023/02/12 05:50:39.870,-76.33707390678384
2023/02/12 05:50:39.997,-76.34591955079613
2023/02/12 05:50:40.135,-76.37161937300449
2023/02/12 05:50:40.273,-76.3056562574735
2023/02/12 05:50:40.398,-76.09987141494378
2023/02/12 05:50:40.524,-76.36972251816799
2023/02/12 05:50:40.664,-76.27757764439659
2023/02/12 05:50:40.789,-74.82237171290807
2023/02/12 05:50:40.914,-75.14228783310158
2023/02/12 05:50:41.044,-76.26250415114222
2023/02/12 05:50:41.178,-76.38583487908394
2023/02/12 05:50:41.303,-76.36552909773667
2023/02/12 05:50:41.430,-76.33310790789326
2023/02/12 05:50:41.555,-76.33424648116463
2023/02/12 05:50:41.695,-76.30293712313122
2023/02/12 05:50:41.820,-76.35103914342372
2023/02/12 05:50:41.945,-76.35595462839119
2023/02/12 05:50:42.076,-76.38831994303955
2023/02/12 05:50:42.215,-76.33228264235396
2023/02/12 05:50:42.353,-76.41236947314327
2023/02/12 05:50:42.478,-76.40423926509385
2023/02/12 05:50:42.616,-76.39141497162865
2023/02/12 05:50:42.747,-76.32696127622532
2023/02/12 05:50:42.882,-76.3402417967938
2023/02/12 05:50:43.006,-76.18898904038065
2023/02/12 05:50:43.134,-76.37081300225167
2023/02/12 05:50:43.271,-76.31833427590283
2023/02/12 05:50:43.397,-76.33659110447525
2023/02/12 05:50:43.530,-76.32381988503715
2023/02/12 05:50:43.664,-76.35014077629587
2023/02/12 05:50:43.796,-76.07484258910121
2023/02/12 05:50:43.932,-75.97955762603485
2023/02/12 05:50:44.058,-76.37402732958581
2023/02/12 05:50:44.198,-76.38925002292395
2023/02/12 05:50:44.338,-76.35344911538986
2023/02/12 05:50:44.479,-76.38197272504269
2023/02/12 05:50:44.615,-76.36822620297853
2023/02/12 05:50:44.746,-76.39055024019532
2023/02/12 05:50:44.883,-76.36697841397566
2023/02/12 05:50:45.014,-76.33758028404922
2023/02/12 05:50:45.147,-76.36476740778063
2023/02/12 05:50:45.287,-76.41458449474837
2023/02/12 05:50:45.427,-76.37920811943563
2023/02/12 05:50:45.554,-76.3665076716741
2023/02/12 05:50:45.680,-76.33239261234644
2023/02/12 05:50:45.820,-76.38249538871415
2023/02/12 05:50:45.959,-76.33693710955762
2023/02/12 05:50:46.085,-76.38197085252914
2023/02/12 05:50:46.213,-76.3268569940253
