時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:51:28.540,-76.04632384155286
2023/02/12 05:51:28.679,-76.36333585592807
2023/02/12 05:51:28.814,-76.24187044049681
2023/02/12 05:51:28.945,-76.0134204197877
2023/02/12 05:51:29.072,-76.37472915579505
2023/02/12 05:51:29.210,-76.3851537352639
2023/02/12 05:51:29.340,-76.37565708854466
2023/02/12 05:51:29.480,-76.39156117510423
2023/02/12 05:51:29.607,-76.35050041586355
2023/02/12 05:51:29.744,-76.31969255742067
2023/02/12 05:51:29.875,-76.37378636046205
2023/02/12 05:51:30.019,-76.34387897395216
2023/02/12 05:51:30.157,-75.98233733017605
2023/02/12 05:51:30.296,-76.36722792894776
2023/02/12 05:51:30.431,-76.33943454618132
2023/02/12 05:51:30.557,-76.3908399341301
2023/02/12 05:51:30.696,-76.27108720392555
2023/02/12 05:51:30.823,-76.3410288264335
2023/02/12 05:51:30.961,-76.33836570676245
2023/02/12 05:51:31.107,-76.38524210456083
2023/02/12 05:51:31.244,-76.35419376581126
2023/02/12 05:51:31.380,-76.39392218597584
2023/02/12 05:51:31.506,-76.37781341818952
2023/02/12 05:51:31.633,-76.32160521308256
2023/02/12 05:51:31.771,-76.3416235291687
2023/02/12 05:51:31.897,-75.95732850603157
2023/02/12 05:51:32.023,-76.3652728642022
2023/02/12 05:51:32.150,-76.33649732454417
2023/02/12 05:51:32.280,-76.34481140620407
2023/02/12 05:51:32.413,-76.20072373234245
2023/02/12 05:51:32.543,-76.3681563369976
2023/02/12 05:51:32.682,-76.33369138724952
2023/02/12 05:51:32.837,-76.38177757486648
2023/02/12 05:51:32.976,-75.896342606991
2023/02/12 05:51:33.102,-76.37707437988328
2023/02/12 05:51:33.241,-76.19685814130911
2023/02/12 05:51:33.382,-76.3799618971571
2023/02/12 05:51:33.513,-76.34265008838288
2023/02/12 05:51:33.652,-76.34277568817562
2023/02/12 05:51:33.789,-76.36640928840292
2023/02/12 05:51:33.914,-76.29937014267212
2023/02/12 05:51:34.040,-76.3212155649855
2023/02/12 05:51:34.166,-76.38697304796746
2023/02/12 05:51:34.293,-76.22154002889852
2023/02/12 05:51:34.432,-76.39567547692569
2023/02/12 05:51:34.561,-76.39426979459445
2023/02/12 05:51:34.695,-76.38192601584697
2023/02/12 05:51:34.827,-76.32782424389451
2023/02/12 05:51:34.961,-75.87691400825328
2023/02/12 05:51:35.094,-75.8020779517154
2023/02/12 05:51:35.231,-76.34350913448542
2023/02/12 05:51:35.362,-76.41158230427985
2023/02/12 05:51:35.491,-76.37400816701376
2023/02/12 05:51:35.621,-76.30492819791401
2023/02/12 05:51:35.758,-76.38249980692193
2023/02/12 05:51:35.883,-76.15335045257049
2023/02/12 05:51:36.009,-76.31306264251462
2023/02/12 05:51:36.135,-76.21653581371766
2023/02/12 05:51:36.273,-76.3671334987288
2023/02/12 05:51:36.398,-76.33823290713997
2023/02/12 05:51:36.524,-76.33010573435729
2023/02/12 05:51:36.651,-76.34474227176851
2023/02/12 05:51:36.778,-76.36971697675006
2023/02/12 05:51:36.917,-76.30144803957718
2023/02/12 05:51:37.045,-76.36847306262268
2023/02/12 05:51:37.170,-76.23807992798652
2023/02/12 05:51:37.304,-76.3802674758997
2023/02/12 05:51:37.432,-76.36075564795536
2023/02/12 05:51:37.571,-76.40568479090008
2023/02/12 05:51:37.697,-76.33310677342097
2023/02/12 05:51:37.824,-76.37240811854105
2023/02/12 05:51:37.959,-76.30509621451168
2023/02/12 05:51:38.086,-76.35832950067058
2023/02/12 05:51:38.215,-76.3443827111114
2023/02/12 05:51:38.341,-76.32613592209901
2023/02/12 05:51:38.479,-76.35064844204331
2023/02/12 05:51:38.608,-76.41117908438825
2023/02/12 05:51:38.745,-76.4082357547572
2023/02/12 05:51:38.880,-76.32746713802375
2023/02/12 05:51:39.006,-76.38131406689689
2023/02/12 05:51:39.135,-76.20767697295047
2023/02/12 05:51:39.273,-76.18297538216648
2023/02/12 05:51:39.400,-76.2973001447642
2023/02/12 05:51:39.537,-74.82938054327667
2023/02/12 05:51:39.665,-74.82582993756841
2023/02/12 05:51:39.791,-76.09343002364909
2023/02/12 05:51:39.928,-76.38157543770045
2023/02/12 05:51:40.055,-76.37790618190448
2023/02/12 05:51:40.180,-76.33439092489874
2023/02/12 05:51:40.306,-76.35116712791066
2023/02/12 05:51:40.445,-76.30051866334968
2023/02/12 05:51:40.571,-76.32596591364617
2023/02/12 05:51:40.710,-76.32302599113164
2023/02/12 05:51:40.846,-76.27945508606993
2023/02/12 05:51:40.983,-76.23901284049877
2023/02/12 05:51:41.108,-76.26876937296807
2023/02/12 05:51:41.240,-76.30645955728053
2023/02/12 05:51:41.372,-76.35473830774428
2023/02/12 05:51:41.510,-76.36031417437306
