時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:53:20.089,-76.38040023612275
2023/02/12 05:53:20.225,-62.55487622645045
2023/02/12 05:53:20.351,-73.61663607354502
2023/02/12 05:53:20.492,-73.54269997283251
2023/02/12 05:53:20.635,-73.46415790505341
2023/02/12 05:53:20.763,-73.47836953887992
2023/02/12 05:53:20.889,-73.46677722106689
2023/02/12 05:53:21.015,-73.00024021837862
2023/02/12 05:53:21.151,-71.47762710620745
2023/02/12 05:53:21.280,-69.49691006306853
2023/02/12 05:53:21.418,-73.87924870611184
2023/02/12 05:53:21.543,-74.15085442417386
2023/02/12 05:53:21.681,-73.50225129601432
2023/02/12 05:53:21.820,-44.41243377942904
2023/02/12 05:53:21.947,-22.599688281019855
2023/02/12 05:53:22.074,-21.440912022651784
2023/02/12 05:53:22.217,-33.64419378808138
2023/02/12 05:53:22.352,-20.9523227393831
2023/02/12 05:53:22.485,-34.653746497346646
2023/02/12 05:53:22.620,-27.71241112176365
2023/02/12 05:53:22.757,-33.97966644595974
2023/02/12 05:53:22.884,-40.39573220749554
2023/02/12 05:53:23.017,-35.00434343180701
2023/02/12 05:53:23.147,-22.29011260241142
2023/02/12 05:53:23.287,-29.088011765233155
2023/02/12 05:53:23.413,-50.33522491353217
2023/02/12 05:53:23.557,-45.54531061755736
2023/02/12 05:53:23.695,-28.66434826281268
2023/02/12 05:53:23.822,-26.52073770595503
2023/02/12 05:53:23.960,-26.14595163885021
2023/02/12 05:53:24.087,-26.14595163885021
2023/02/12 05:53:24.228,-58.292553893016176
2023/02/12 05:53:24.359,-20.75061539268894
2023/02/12 05:53:24.493,-24.77796255838202
2023/02/12 05:53:24.619,-66.99805119751201
2023/02/12 05:53:24.746,-38.66146243105236
2023/02/12 05:53:24.881,-29.744013345381234
2023/02/12 05:53:25.008,-21.770415486444822
2023/02/12 05:53:25.135,-26.76670503497318
2023/02/12 05:53:25.263,-36.01353140644437
2023/02/12 05:53:25.399,-31.29671023882632
2023/02/12 05:53:25.525,-19.86759382225266
2023/02/12 05:53:25.662,-27.47972033410828
2023/02/12 05:53:25.789,-75.37548455765493
2023/02/12 05:53:25.935,-44.486208143982836
2023/02/12 05:53:26.070,-18.474871312378443
2023/02/12 05:53:26.218,-23.808748446789465
2023/02/12 05:53:26.352,-38.93883376151131
2023/02/12 05:53:26.494,-20.45077317210361
2023/02/12 05:53:26.620,-22.012780755795983
2023/02/12 05:53:26.746,-17.963160156073073
2023/02/12 05:53:26.881,-27.825135434153346
2023/02/12 05:53:27.014,-27.11803523012051
2023/02/12 05:53:27.146,-41.134375887037244
2023/02/12 05:53:27.272,-27.543849634357528
2023/02/12 05:53:27.398,-36.47938734992031
2023/02/12 05:53:27.532,-73.87323450437893
2023/02/12 05:53:27.667,-64.7996794743768
2023/02/12 05:53:27.802,-68.50942118881161
2023/02/12 05:53:27.929,-74.14269883111425
2023/02/12 05:53:28.070,-20.034144289842413
2023/02/12 05:53:28.194,-19.43841929630451
2023/02/12 05:53:28.320,-15.89518711279743
2023/02/12 05:53:28.460,-24.737016968804824
2023/02/12 05:53:28.585,-68.86632293699013
2023/02/12 05:53:28.711,-52.33816952902793
2023/02/12 05:53:28.850,-64.35129023765839
2023/02/12 05:53:28.979,-75.92071775212833
2023/02/12 05:53:29.116,-76.40223818935085
2023/02/12 05:53:29.246,-76.36648769808816
2023/02/12 05:53:29.383,-76.42876145658119
2023/02/12 05:53:29.516,-52.28719192684214
2023/02/12 05:53:29.648,-63.19499382499046
2023/02/12 05:53:29.775,-72.00525431036614
2023/02/12 05:53:29.912,-76.19945064395246
2023/02/12 05:53:30.037,-76.33847163507502
2023/02/12 05:53:30.171,-76.34971992328998
2023/02/12 05:53:30.300,-76.38209239164577
2023/02/12 05:53:30.437,-76.37208580160892
2023/02/12 05:53:30.563,-76.43119837561132
2023/02/12 05:53:30.697,-76.41930074657333
2023/02/12 05:53:30.832,-76.44672936977427
2023/02/12 05:53:30.979,-76.381646263763
2023/02/12 05:53:31.104,-39.30939174509513
2023/02/12 05:53:31.241,-15.040547531026625
2023/02/12 05:53:31.374,-34.94822308748153
2023/02/12 05:53:31.509,-22.695794234461072
2023/02/12 05:53:31.648,-26.47141811517959
2023/02/12 05:53:31.780,-65.75484872594636
2023/02/12 05:53:31.915,-76.32170186602801
2023/02/12 05:53:32.060,-76.3924549788621
2023/02/12 05:53:32.196,-76.41414607790058
2023/02/12 05:53:32.328,-75.57441480332966
2023/02/12 05:53:32.460,-76.42026148267317
2023/02/12 05:53:32.586,-76.15323683998548
2023/02/12 05:53:32.726,-76.40926956781927
2023/02/12 05:53:32.854,-76.445016772405
2023/02/12 05:53:32.993,-76.42138401172528
2023/02/12 05:53:33.119,-76.38274985126837
