時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:55:01.495,-76.36951224045922
2023/02/12 05:55:01.625,-56.28493016844679
2023/02/12 05:55:01.757,-71.56254940005925
2023/02/12 05:55:01.897,-73.47106147261015
2023/02/12 05:55:02.024,-73.38748607245171
2023/02/12 05:55:02.156,-73.45937123499252
2023/02/12 05:55:02.290,-73.3757321598116
2023/02/12 05:55:02.418,-54.220630174302485
2023/02/12 05:55:02.576,-59.406629480598106
2023/02/12 05:55:02.716,-55.14778788045455
2023/02/12 05:55:02.843,-63.38022691711898
2023/02/12 05:55:02.975,-72.0297554069082
2023/02/12 05:55:03.106,-73.44704937897976
2023/02/12 05:55:03.235,-73.37905402581849
2023/02/12 05:55:03.368,-57.14879540447049
2023/02/12 05:55:03.498,-65.86539966057644
2023/02/12 05:55:03.632,-58.86146094981407
2023/02/12 05:55:03.758,-73.41532531983728
2023/02/12 05:55:03.886,-73.3962460343225
2023/02/12 05:55:04.022,-73.37463093740143
2023/02/12 05:55:04.153,-60.53223650424684
2023/02/12 05:55:04.290,-56.74803734531424
2023/02/12 05:55:04.417,-44.839681436940126
2023/02/12 05:55:04.553,-53.1665409580027
2023/02/12 05:55:04.688,-65.0500765620854
2023/02/12 05:55:04.827,-65.8560131110901
2023/02/12 05:55:04.971,-66.60369805345987
2023/02/12 05:55:05.101,-73.42981948775035
2023/02/12 05:55:05.241,-73.35732614852175
2023/02/12 05:55:05.367,-73.37389557611614
2023/02/12 05:55:05.491,-73.43821933112993
2023/02/12 05:55:05.633,-73.49919754562451
2023/02/12 05:55:05.758,-73.45740545102323
2023/02/12 05:55:05.885,-68.9465960879796
2023/02/12 05:55:06.022,-65.49790952773773
2023/02/12 05:55:06.153,-59.69652464879825
2023/02/12 05:55:06.288,-73.26695742409409
2023/02/12 05:55:06.415,-57.20575979329159
2023/02/12 05:55:06.541,-73.2434127534517
2023/02/12 05:55:06.680,-73.28028184162208
2023/02/12 05:55:06.807,-73.49462806175896
2023/02/12 05:55:06.935,-73.39675918277277
2023/02/12 05:55:07.071,-73.40854609917403
2023/02/12 05:55:07.205,-72.31079765414866
2023/02/12 05:55:07.341,-66.32738419644865
2023/02/12 05:55:07.476,-59.96089208694802
2023/02/12 05:55:07.600,-71.92765010915014
2023/02/12 05:55:07.726,-73.34321383104813
2023/02/12 05:55:07.853,-73.35357656931487
2023/02/12 05:55:07.991,-73.40653943761667
2023/02/12 05:55:08.117,-73.36603073156526
2023/02/12 05:55:08.242,-73.41284281788973
2023/02/12 05:55:08.368,-73.35222197672135
2023/02/12 05:55:08.506,-71.80079682596734
2023/02/12 05:55:08.633,-73.43151022154507
2023/02/12 05:55:08.760,-73.38399802182218
2023/02/12 05:55:08.885,-73.45114474741175
2023/02/12 05:55:09.024,-73.39068975600875
2023/02/12 05:55:09.164,-73.39593119391671
2023/02/12 05:55:09.305,-73.43152619556494
2023/02/12 05:55:09.431,-73.42479721610873
2023/02/12 05:55:09.569,-73.41061104906001
2023/02/12 05:55:09.709,-73.41212820112989
2023/02/12 05:55:09.837,-73.39928871412982
2023/02/12 05:55:09.964,-73.39788304661836
2023/02/12 05:55:10.101,-73.43224154792426
2023/02/12 05:55:10.241,-73.38879273281817
2023/02/12 05:55:10.367,-73.39031560724196
2023/02/12 05:55:10.506,-73.3955268117364
2023/02/12 05:55:10.647,-73.42809073457902
2023/02/12 05:55:10.780,-73.44290627465179
2023/02/12 05:55:10.907,-66.71764384422518
2023/02/12 05:55:11.043,-65.01165129060739
2023/02/12 05:55:11.178,-73.38326534755127
2023/02/12 05:55:11.305,-73.40122171432829
2023/02/12 05:55:11.438,-73.39192712272893
2023/02/12 05:55:11.571,-73.21360865890517
2023/02/12 05:55:11.710,-73.43987451094043
2023/02/12 05:55:11.850,-73.46038296329691
2023/02/12 05:55:11.980,-73.46276437638706
2023/02/12 05:55:12.109,-73.41216804633653
2023/02/12 05:55:12.234,-73.41614174773164
2023/02/12 05:55:12.373,-73.42863038400327
2023/02/12 05:55:12.506,-73.40220585485326
2023/02/12 05:55:12.632,-73.4534211250393
2023/02/12 05:55:12.760,-73.41772842808457
2023/02/12 05:55:12.897,-73.46175205962929
2023/02/12 05:55:13.022,-73.42261839304061
2023/02/12 05:55:13.153,-73.4205219695283
2023/02/12 05:55:13.288,-73.42692920250848
2023/02/12 05:55:13.416,-73.39082026902014
2023/02/12 05:55:13.547,-73.42323934036737
2023/02/12 05:55:13.678,-73.26682998901563
2023/02/12 05:55:13.810,-73.39385281297069
2023/02/12 05:55:13.936,-73.4357550755949
2023/02/12 05:55:14.069,-73.4099125569834
2023/02/12 05:55:14.194,-73.39662943539244
2023/02/12 05:55:14.321,-73.41489478586612
2023/02/12 05:55:14.450,-73.37018039217088
