時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:55:39.964,-73.4286738267755
2023/02/12 05:55:40.089,-73.4286738267755
2023/02/12 05:55:40.226,-73.36859217316939
2023/02/12 05:55:40.352,-73.30381080075955
2023/02/12 05:55:40.476,-73.38549708787778
2023/02/12 05:55:40.606,-73.40851308940063
2023/02/12 05:55:40.735,-47.3840294431556
2023/02/12 05:55:40.871,-44.73237244497135
2023/02/12 05:55:41.008,-68.46141767780198
2023/02/12 05:55:41.146,-55.49543035189369
2023/02/12 05:55:41.271,-69.58544433576296
2023/02/12 05:55:41.402,-73.3850362420125
2023/02/12 05:55:41.540,-73.46012328409645
2023/02/12 05:55:41.673,-73.3869727752888
2023/02/12 05:55:41.819,-63.710589198830476
2023/02/12 05:55:41.951,-72.70320397216756
2023/02/12 05:55:42.086,-70.80441798924413
2023/02/12 05:55:42.210,-73.3331405132129
2023/02/12 05:55:42.339,-73.30583114957402
2023/02/12 05:55:42.476,-73.42821311266876
2023/02/12 05:55:42.604,-66.32085652676582
2023/02/12 05:55:42.741,-61.95356464626642
2023/02/12 05:55:42.869,-61.39132901646953
2023/02/12 05:55:43.009,-73.53133680957272
2023/02/12 05:55:43.146,-73.32898933178637
2023/02/12 05:55:43.274,-73.3970404819467
2023/02/12 05:55:43.399,-73.38249363705465
2023/02/12 05:55:43.523,-73.41764516856276
2023/02/12 05:55:43.650,-73.38446331711435
2023/02/12 05:55:43.775,-73.40330789127617
2023/02/12 05:55:43.904,-73.37867726445907
2023/02/12 05:55:44.049,-73.39880593529374
2023/02/12 05:55:44.178,-73.39720694562932
2023/02/12 05:55:44.307,-73.40275289173499
2023/02/12 05:55:44.432,-73.43280790327162
2023/02/12 05:55:44.572,-73.37966970400419
2023/02/12 05:55:44.698,-73.28362237652973
2023/02/12 05:55:44.839,-73.4156224333168
2023/02/12 05:55:44.979,-73.43559715564889
2023/02/12 05:55:45.117,-73.38548229967488
2023/02/12 05:55:45.242,-73.42608805218222
2023/02/12 05:55:45.382,-73.38919793521602
2023/02/12 05:55:45.509,-73.4258786762341
2023/02/12 05:55:45.637,-73.34491682054926
2023/02/12 05:55:45.772,-73.41565056451016
2023/02/12 05:55:45.900,-73.40516896088556
2023/02/12 05:55:46.039,-73.39042429079966
2023/02/12 05:55:46.169,-73.38029662579079
2023/02/12 05:55:46.307,-73.39892364036054
2023/02/12 05:55:46.436,-73.40662876394191
2023/02/12 05:55:46.573,-73.38798176192654
2023/02/12 05:55:46.706,-48.560643951667295
2023/02/12 05:55:46.847,-73.4493783688904
2023/02/12 05:55:46.984,-73.39784696944803
2023/02/12 05:55:47.119,-73.43580873582344
2023/02/12 05:55:47.258,-73.37285891892905
2023/02/12 05:55:47.387,-73.40346759257828
2023/02/12 05:55:47.522,-73.37922159288978
2023/02/12 05:55:47.648,-73.41451860323994
2023/02/12 05:55:47.788,-73.37744911853478
2023/02/12 05:55:47.921,-73.37908619822221
2023/02/12 05:55:48.056,-73.35792398238519
2023/02/12 05:55:48.196,-73.39417195694574
2023/02/12 05:55:48.326,-73.42291466905796
2023/02/12 05:55:48.454,-73.40626314006622
2023/02/12 05:55:48.587,-73.39392011940699
2023/02/12 05:55:48.725,-73.40218870349776
2023/02/12 05:55:48.851,-73.3985084242242
2023/02/12 05:55:48.977,-73.3886762294389
2023/02/12 05:55:49.103,-73.4300483672668
2023/02/12 05:55:49.241,-73.43155206621013
2023/02/12 05:55:49.370,-62.17449227051731
2023/02/12 05:55:49.499,-73.44588185116028
2023/02/12 05:55:49.631,-73.47326722243383
2023/02/12 05:55:49.758,-73.41102623568656
2023/02/12 05:55:49.886,-73.44072771411435
2023/02/12 05:55:50.029,-73.41207702230618
2023/02/12 05:55:50.162,-73.42217669884693
2023/02/12 05:55:50.291,-73.3672758585008
2023/02/12 05:55:50.419,-73.42503984205979
2023/02/12 05:55:50.555,-73.36625191685859
2023/02/12 05:55:50.689,-73.4184878365741
2023/02/12 05:55:50.820,-73.40008157707798
2023/02/12 05:55:50.946,-73.42387052044153
2023/02/12 05:55:51.087,-73.38944769410251
2023/02/12 05:55:51.211,-73.41844893102513
2023/02/12 05:55:51.342,-73.41353166499997
2023/02/12 05:55:51.477,-73.41067556174144
2023/02/12 05:55:51.610,-73.40956623377801
2023/02/12 05:55:51.740,-73.40024192590268
2023/02/12 05:55:51.867,-73.37991987771946
2023/02/12 05:55:52.006,-73.42570416130161
2023/02/12 05:55:52.140,-73.39485098119836
2023/02/12 05:55:52.274,-73.46492724641762
2023/02/12 05:55:52.399,-73.37909148146123
2023/02/12 05:55:52.540,-73.46413895439576
2023/02/12 05:55:52.675,-73.39096143377857
2023/02/12 05:55:52.812,-73.43304864596223
2023/02/12 05:55:52.944,-73.38351039999611
