時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:56:14.581,-73.38753337492744
2023/02/12 05:56:14.717,-73.847812391
2023/02/12 05:56:14.865,-73.82149061072232
2023/02/12 05:56:14.992,-73.42138137557734
2023/02/12 05:56:15.117,-73.57981430042531
2023/02/12 05:56:15.256,-73.46125864114332
2023/02/12 05:56:15.390,-57.90537346647049
2023/02/12 05:56:15.526,-52.118467260618885
2023/02/12 05:56:15.664,-73.8640081884324
2023/02/12 05:56:15.805,-59.45236279247777
2023/02/12 05:56:15.944,-68.07727231654684
2023/02/12 05:56:16.070,-68.07727231654684
2023/02/12 05:56:16.196,-73.73131122228259
2023/02/12 05:56:16.328,-73.55725209047168
2023/02/12 05:56:16.460,-67.35297170649486
2023/02/12 05:56:16.590,-67.06084067040285
2023/02/12 05:56:16.725,-70.33922099801629
2023/02/12 05:56:16.851,-73.72307473954776
2023/02/12 05:56:16.984,-73.60012306384216
2023/02/12 05:56:17.117,-73.48487376758717
2023/02/12 05:56:17.242,-60.99350384667821
2023/02/12 05:56:17.369,-51.47945528093504
2023/02/12 05:56:17.507,-55.87766467762515
2023/02/12 05:56:17.639,-63.801715282538616
2023/02/12 05:56:17.773,-70.15878354404384
2023/02/12 05:56:17.905,-71.20201056481348
2023/02/12 05:56:18.038,-74.27236740304893
2023/02/12 05:56:18.171,-73.47578232902491
2023/02/12 05:56:18.305,-73.4430881947512
2023/02/12 05:56:18.445,-73.45474506476103
2023/02/12 05:56:18.571,-73.42873541857873
2023/02/12 05:56:18.704,-73.44152386568362
2023/02/12 05:56:18.836,-73.42617953832367
2023/02/12 05:56:18.962,-59.67969663986451
2023/02/12 05:56:19.099,-58.67522449506441
2023/02/12 05:56:19.225,-65.03205984982246
2023/02/12 05:56:19.352,-73.82479213869487
2023/02/12 05:56:19.479,-58.466381947919565
2023/02/12 05:56:19.607,-73.98916083939946
2023/02/12 05:56:19.756,-73.488723952436
2023/02/12 05:56:19.890,-73.45515111653286
2023/02/12 05:56:20.024,-73.45786391392556
2023/02/12 05:56:20.158,-73.49316031339173
2023/02/12 05:56:20.287,-61.46140421527196
2023/02/12 05:56:20.421,-70.55994201941432
2023/02/12 05:56:20.555,-73.68616803847145
2023/02/12 05:56:20.680,-73.45698995946316
2023/02/12 05:56:20.805,-73.85193777109993
2023/02/12 05:56:20.954,-73.41755103557114
2023/02/12 05:56:21.084,-73.43930930895506
2023/02/12 05:56:21.209,-55.487666234060455
2023/02/12 05:56:21.336,-63.487385653089056
2023/02/12 05:56:21.463,-74.20319985657068
2023/02/12 05:56:21.588,-73.69144898880447
2023/02/12 05:56:21.736,-63.32206642542764
2023/02/12 05:56:21.861,-48.79818640261361
2023/02/12 05:56:21.993,-56.53360179482369
2023/02/12 05:56:22.119,-73.4676493403625
2023/02/12 05:56:22.245,-60.893626293361514
2023/02/12 05:56:22.386,-67.98202681239803
2023/02/12 05:56:22.524,-59.591375813803836
2023/02/12 05:56:22.657,-65.3632202083321
2023/02/12 05:56:22.790,-68.10038938457127
2023/02/12 05:56:22.921,-66.79009401415773
2023/02/12 05:56:23.058,-65.38958003737167
2023/02/12 05:56:23.199,-73.9148430999777
2023/02/12 05:56:23.335,-60.13105435280931
2023/02/12 05:56:23.461,-72.03280614776145
2023/02/12 05:56:23.588,-73.42359640240252
2023/02/12 05:56:23.719,-73.44594168261285
2023/02/12 05:56:23.852,-73.45438452002341
2023/02/12 05:56:23.991,-59.258209368981696
2023/02/12 05:56:24.119,-47.96013509313988
2023/02/12 05:56:24.244,-47.84095829333033
2023/02/12 05:56:24.385,-53.70043544540391
2023/02/12 05:56:24.523,-67.45851157852529
2023/02/12 05:56:24.649,-72.13224765845732
2023/02/12 05:56:24.776,-62.62718767473529
2023/02/12 05:56:24.900,-68.01327702148595
2023/02/12 05:56:25.038,-73.8418391122565
2023/02/12 05:56:25.163,-63.8752226680037
2023/02/12 05:56:25.294,-70.82625014066907
2023/02/12 05:56:25.423,-59.078207496069325
2023/02/12 05:56:25.560,-73.57216877851823
2023/02/12 05:56:25.699,-60.343875410256686
2023/02/12 05:56:25.835,-71.13169061486927
2023/02/12 05:56:25.960,-62.622560440393144
2023/02/12 05:56:26.085,-60.350994205812434
2023/02/12 05:56:26.226,-74.08095754323328
2023/02/12 05:56:26.352,-73.41789440318065
2023/02/12 05:56:26.477,-73.42739581851899
2023/02/12 05:56:26.605,-56.32667773774871
2023/02/12 05:56:26.742,-51.785007994622696
2023/02/12 05:56:26.868,-69.44089626274561
2023/02/12 05:56:27.006,-55.03607038391401
2023/02/12 05:56:27.143,-55.148791153496994
2023/02/12 05:56:27.276,-72.356830759522
2023/02/12 05:56:27.401,-73.44462817226298
2023/02/12 05:56:27.540,-73.45934815091161
