時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:56:51.264,-72.71626171947833
2023/02/12 05:56:51.390,-71.69787649462882
2023/02/12 05:56:51.528,-71.58423099376692
2023/02/12 05:56:51.661,-71.58621563838635
2023/02/12 05:56:51.790,-71.6053556982504
2023/02/12 05:56:51.928,-71.57174298900705
2023/02/12 05:56:52.054,-71.61826860946768
2023/02/12 05:56:52.181,-71.95601812014047
2023/02/12 05:56:52.319,-71.83977858613032
2023/02/12 05:56:52.445,-71.57630546416017
2023/02/12 05:56:52.573,-71.87029065873799
2023/02/12 05:56:52.706,-71.76728661529995
2023/02/12 05:56:52.844,-71.53056903745028
2023/02/12 05:56:52.977,-71.52948346690516
2023/02/12 05:56:53.117,-71.52529363284219
2023/02/12 05:56:53.247,-71.95197185482746
2023/02/12 05:56:53.389,-71.71035352172366
2023/02/12 05:56:53.526,-71.56495356849997
2023/02/12 05:56:53.652,-71.51972461713103
2023/02/12 05:56:53.791,-71.54429419117743
2023/02/12 05:56:53.928,-71.57065812885998
2023/02/12 05:56:54.061,-71.58790731882868
2023/02/12 05:56:54.199,-71.93853225375071
2023/02/12 05:56:54.335,-71.6905561927924
2023/02/12 05:56:54.462,-71.51265959009172
2023/02/12 05:56:54.590,-71.55215092723869
2023/02/12 05:56:54.725,-71.60900533510687
2023/02/12 05:56:54.852,-71.54347934619241
2023/02/12 05:56:54.990,-71.61088571446003
2023/02/12 05:56:55.124,-71.568204420487
2023/02/12 05:56:55.259,-71.60699925679863
2023/02/12 05:56:55.386,-71.61627110681255
2023/02/12 05:56:55.523,-71.59779381820732
2023/02/12 05:56:55.654,-71.57278959062877
2023/02/12 05:56:55.795,-71.58763594227607
2023/02/12 05:56:55.929,-71.54353319471406
2023/02/12 05:56:56.059,-71.5818253033035
2023/02/12 05:56:56.195,-71.69116105091832
2023/02/12 05:56:56.321,-71.54354908118161
2023/02/12 05:56:56.447,-71.51921782463194
2023/02/12 05:56:56.573,-71.5305677164324
2023/02/12 05:56:56.710,-71.51578460942078
2023/02/12 05:56:56.850,-71.56157813182867
2023/02/12 05:56:56.976,-71.52416156769809
2023/02/12 05:56:57.105,-71.59512374746656
2023/02/12 05:56:57.240,-71.53316111672798
2023/02/12 05:56:57.373,-71.54918600924799
2023/02/12 05:56:57.506,-71.56898828249568
2023/02/12 05:56:57.641,-71.54852492126567
2023/02/12 05:56:57.772,-71.53285529489293
2023/02/12 05:56:57.904,-71.56145404513217
2023/02/12 05:56:58.037,-67.29931123702058
2023/02/12 05:56:58.164,-71.97368202077881
2023/02/12 05:56:58.290,-72.0082811278217
2023/02/12 05:56:58.419,-71.54699085874248
2023/02/12 05:56:58.546,-71.52409542542385
2023/02/12 05:56:58.681,-71.56817896404186
2023/02/12 05:56:58.808,-71.986654231504
2023/02/12 05:56:58.947,-71.86847751636296
2023/02/12 05:56:59.087,-71.73340217898497
2023/02/12 05:56:59.212,-71.7798062219483
2023/02/12 05:56:59.350,-71.93256170251667
2023/02/12 05:56:59.477,-71.93905339116941
2023/02/12 05:56:59.604,-71.93275744602809
2023/02/12 05:56:59.744,-71.77760868972061
2023/02/12 05:56:59.869,-71.6047177210877
2023/02/12 05:57:00.011,-71.57479867153165
2023/02/12 05:57:00.139,-71.71264878674917
2023/02/12 05:57:00.265,-71.71264878674917
2023/02/12 05:57:00.395,-71.61608692725542
2023/02/12 05:57:00.524,-71.62670481843759
2023/02/12 05:57:00.655,-65.39860578038551
2023/02/12 05:57:00.790,-56.92157527440141
2023/02/12 05:57:00.930,-69.0902186503325
2023/02/12 05:57:01.059,-72.03165440590864
2023/02/12 05:57:01.184,-71.96622576383852
2023/02/12 05:57:01.321,-72.06146637745624
2023/02/12 05:57:01.466,-71.70220677604325
2023/02/12 05:57:01.591,-71.91521871064894
2023/02/12 05:57:01.728,-71.63791438884301
2023/02/12 05:57:01.854,-71.51676839984813
2023/02/12 05:57:01.992,-72.05405081135886
2023/02/12 05:57:02.122,-71.57806638402762
2023/02/12 05:57:02.258,-71.9950160459353
2023/02/12 05:57:02.390,-71.65908185959525
2023/02/12 05:57:02.525,-71.71254179116508
2023/02/12 05:57:02.659,-71.56795613563845
2023/02/12 05:57:02.795,-72.00514639991043
2023/02/12 05:57:02.930,-66.03967180134494
2023/02/12 05:57:03.058,-71.84697565389693
2023/02/12 05:57:03.184,-71.58328109099251
2023/02/12 05:57:03.319,-71.64115620670184
2023/02/12 05:57:03.452,-60.21029546463592
2023/02/12 05:57:03.578,-59.452838294785096
2023/02/12 05:57:03.711,-71.90958964919264
2023/02/12 05:57:03.840,-66.48071630063767
2023/02/12 05:57:03.975,-72.00439116527536
2023/02/12 05:57:04.113,-71.58750825370812
2023/02/12 05:57:04.242,-71.57926272305497
