時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 05:57:26.904,-71.58992130002589
2023/02/12 05:57:27.039,-72.93507047820377
2023/02/12 05:57:27.165,-73.00824137646029
2023/02/12 05:57:27.304,-72.99033026280986
2023/02/12 05:57:27.435,-72.99699273481215
2023/02/12 05:57:27.569,-73.02003885259391
2023/02/12 05:57:27.696,-73.02914217726743
2023/02/12 05:57:27.835,-72.53043972417017
2023/02/12 05:57:27.962,-72.41603375269636
2023/02/12 05:57:28.087,-73.04071974846605
2023/02/12 05:57:28.225,-72.61412607963358
2023/02/12 05:57:28.355,-72.85620623128493
2023/02/12 05:57:28.481,-73.01490372427271
2023/02/12 05:57:28.618,-29.063359920454886
2023/02/12 05:57:28.746,-12.483220489355592
2023/02/12 05:57:28.874,-25.060495054284534
2023/02/12 05:57:29.006,-30.25916226717459
2023/02/12 05:57:29.138,-19.607144104617568
2023/02/12 05:57:29.276,-24.476925428476562
2023/02/12 05:57:29.402,-46.27393091679977
2023/02/12 05:57:29.539,-34.955950650149944
2023/02/12 05:57:29.666,-34.01164638632214
2023/02/12 05:57:29.806,-43.46348755844624
2023/02/12 05:57:29.932,-24.24549337525788
2023/02/12 05:57:30.070,-33.58490307969517
2023/02/12 05:57:30.196,-68.03248942651177
2023/02/12 05:57:30.325,-62.236352115479086
2023/02/12 05:57:30.459,-22.602158290668278
2023/02/12 05:57:30.594,-38.83636113491534
2023/02/12 05:57:30.728,-22.665664517548496
2023/02/12 05:57:30.859,-45.62098215538863
2023/02/12 05:57:30.994,-15.277739838877057
2023/02/12 05:57:31.122,-29.042266548887433
2023/02/12 05:57:31.258,-36.39531229833399
2023/02/12 05:57:31.398,-47.116251671441
2023/02/12 05:57:31.526,-67.03595209451419
2023/02/12 05:57:31.664,-57.40316025969588
2023/02/12 05:57:31.791,-20.446552273381158
2023/02/12 05:57:31.925,-40.47541713437751
2023/02/12 05:57:32.057,-33.1077637195359
2023/02/12 05:57:32.184,-20.405436082098163
2023/02/12 05:57:32.322,-34.40269363284875
2023/02/12 05:57:32.459,-39.23729153132119
2023/02/12 05:57:32.587,-20.605713502304898
2023/02/12 05:57:32.726,-36.9482696710087
2023/02/12 05:57:32.856,-74.38259889768783
2023/02/12 05:57:32.992,-74.17973358469351
2023/02/12 05:57:33.131,-73.62350634113072
2023/02/12 05:57:33.258,-19.986734047240112
2023/02/12 05:57:33.384,-19.00310663637179
2023/02/12 05:57:33.509,-25.93630732971188
2023/02/12 05:57:33.642,-23.11484401657395
2023/02/12 05:57:33.779,-23.915682734605777
2023/02/12 05:57:33.916,-23.915682734605777
2023/02/12 05:57:34.057,-24.907224541698838
2023/02/12 05:57:34.184,-26.111044808829007
2023/02/12 05:57:34.309,-30.68732049627244
2023/02/12 05:57:34.435,-45.79975496806795
2023/02/12 05:57:34.575,-16.463778515543982
2023/02/12 05:57:34.713,-55.5979885505161
2023/02/12 05:57:34.843,-69.91219260153514
2023/02/12 05:57:34.977,-54.69163241561206
2023/02/12 05:57:35.107,-74.09471905355895
2023/02/12 05:57:35.243,-24.279507375382817
2023/02/12 05:57:35.383,-23.593314155098938
2023/02/12 05:57:35.510,-18.047117442247476
2023/02/12 05:57:35.637,-25.574003466284086
2023/02/12 05:57:35.772,-59.06915164876361
2023/02/12 05:57:35.906,-51.885484984452816
2023/02/12 05:57:36.038,-66.02053289383123
2023/02/12 05:57:36.165,-73.93055479000887
2023/02/12 05:57:36.303,-73.5506306089509
2023/02/12 05:57:36.436,-46.18427469557947
2023/02/12 05:57:36.570,-57.03070750733585
2023/02/12 05:57:36.695,-62.20174216594904
2023/02/12 05:57:36.823,-43.22030642719372
2023/02/12 05:57:36.960,-65.8143820870718
2023/02/12 05:57:37.092,-68.88762165456991
2023/02/12 05:57:37.228,-61.65442036976571
2023/02/12 05:57:37.354,-73.86911221640763
2023/02/12 05:57:37.493,-73.62164924620727
2023/02/12 05:57:37.621,-73.7101327453264
2023/02/12 05:57:37.758,-74.12134392203745
2023/02/12 05:57:37.888,-73.57315648036223
2023/02/12 05:57:38.024,-73.42226059039893
2023/02/12 05:57:38.157,-73.72859868181655
2023/02/12 05:57:38.288,-73.45291626096034
2023/02/12 05:57:38.421,-49.970342245080886
2023/02/12 05:57:38.554,-72.21560978372912
2023/02/12 05:57:38.679,-45.32522031272131
2023/02/12 05:57:38.819,-16.76662142298708
2023/02/12 05:57:38.945,-32.32207522752755
2023/02/12 05:57:39.070,-28.341684745844702
2023/02/12 05:57:39.196,-47.16914829502428
2023/02/12 05:57:39.322,-59.693311000504494
2023/02/12 05:57:39.462,-74.27096618903549
2023/02/12 05:57:39.588,-48.97434517631054
2023/02/12 05:57:39.728,-74.36283105902328
2023/02/12 05:57:39.866,-73.64006236625114
2023/02/12 05:57:39.991,-73.48278431245
