時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 06:00:03.870,-73.4292086230378
2023/02/12 06:00:04.008,-67.95074903822234
2023/02/12 06:00:04.157,-67.93412477710544
2023/02/12 06:00:04.289,-67.93670134018842
2023/02/12 06:00:04.415,-67.93635368384741
2023/02/12 06:00:04.540,-67.93905539410859
2023/02/12 06:00:04.666,-49.30003861281749
2023/02/12 06:00:04.791,-35.80710478720019
2023/02/12 06:00:04.929,-47.278346268782116
2023/02/12 06:00:05.063,-36.62430310942725
2023/02/12 06:00:05.208,-35.27253593804772
2023/02/12 06:00:05.337,-58.60435768971606
2023/02/12 06:00:05.463,-68.13062537234006
2023/02/12 06:00:05.589,-67.93140122813622
2023/02/12 06:00:05.725,-33.765141779220784
2023/02/12 06:00:05.851,-36.99555164972181
2023/02/12 06:00:05.977,-39.10525541923947
2023/02/12 06:00:06.111,-50.72315110424575
2023/02/12 06:00:06.250,-67.92650306633709
2023/02/12 06:00:06.383,-65.12817758567324
2023/02/12 06:00:06.509,-42.67071592324919
2023/02/12 06:00:06.634,-31.987844836362342
2023/02/12 06:00:06.774,-26.752960197715744
2023/02/12 06:00:06.900,-44.55755767481125
2023/02/12 06:00:07.039,-39.2506253591569
2023/02/12 06:00:07.170,-44.687528305807824
2023/02/12 06:00:07.308,-56.30575619483614
2023/02/12 06:00:07.448,-67.48419364678051
2023/02/12 06:00:07.577,-67.35095378093175
2023/02/12 06:00:07.710,-67.2338910223993
2023/02/12 06:00:07.842,-67.24197431298784
2023/02/12 06:00:07.978,-67.95282296563862
2023/02/12 06:00:08.104,-67.91114419531777
2023/02/12 06:00:08.231,-67.9470193523804
2023/02/12 06:00:08.368,-67.93102168071754
2023/02/12 06:00:08.498,-63.72585605539588
2023/02/12 06:00:08.632,-28.586155216170205
2023/02/12 06:00:08.758,-32.86781931703683
2023/02/12 06:00:08.905,-34.603728206946776
2023/02/12 06:00:09.039,-46.00388687301326
2023/02/12 06:00:09.166,-37.18753613500323
2023/02/12 06:00:09.294,-41.11676851182609
2023/02/12 06:00:09.418,-44.77791465067085
2023/02/12 06:00:09.554,-39.06907677781533
2023/02/12 06:00:09.680,-45.43881518812441
2023/02/12 06:00:09.816,-44.26804041283627
2023/02/12 06:00:09.949,-45.08980266961355
2023/02/12 06:00:10.079,-36.91091130336408
2023/02/12 06:00:10.215,-42.65932648359498
2023/02/12 06:00:10.342,-67.83419870443706
2023/02/12 06:00:10.478,-50.47899804986514
2023/02/12 06:00:10.611,-68.12248397228682
2023/02/12 06:00:10.750,-38.91535000747449
2023/02/12 06:00:10.884,-37.37678200180176
2023/02/12 06:00:11.010,-38.7033407541482
2023/02/12 06:00:11.147,-36.91156988256691
2023/02/12 06:00:11.274,-48.486443798383135
2023/02/12 06:00:11.400,-26.230153332404043
2023/02/12 06:00:11.537,-34.46068039412198
2023/02/12 06:00:11.665,-38.91999275309251
2023/02/12 06:00:11.794,-34.361448872783114
2023/02/12 06:00:11.931,-39.93409552288272
2023/02/12 06:00:12.060,-41.36850456580794
2023/02/12 06:00:12.200,-60.25716849157892
2023/02/12 06:00:12.330,-47.69249107989971
2023/02/12 06:00:12.463,-54.7324757722236
2023/02/12 06:00:12.592,-39.3149341792271
2023/02/12 06:00:12.727,-43.449196606375025
2023/02/12 06:00:12.860,-66.41504866725359
2023/02/12 06:00:12.994,-67.93780418515462
2023/02/12 06:00:13.133,-49.45715020626913
2023/02/12 06:00:13.263,-36.53852645630255
2023/02/12 06:00:13.399,-34.898906167512656
2023/02/12 06:00:13.528,-37.7117043941835
2023/02/12 06:00:13.666,-24.62181144415622
2023/02/12 06:00:13.805,-47.22633338119639
2023/02/12 06:00:13.930,-38.82917293683232
2023/02/12 06:00:14.062,-31.017832843873038
2023/02/12 06:00:14.196,-50.20996479217352
2023/02/12 06:00:14.326,-57.662911780776646
2023/02/12 06:00:14.463,-44.129388236058766
2023/02/12 06:00:14.595,-44.2086712371668
2023/02/12 06:00:14.727,-38.778511656000894
2023/02/12 06:00:14.854,-50.56563953548398
2023/02/12 06:00:14.991,-32.67650323975581
2023/02/12 06:00:15.117,-52.898038304696584
2023/02/12 06:00:15.244,-51.30045951774583
2023/02/12 06:00:15.382,-43.92266068241919
2023/02/12 06:00:15.514,-47.196453540423455
2023/02/12 06:00:15.651,-57.54656301491059
2023/02/12 06:00:15.787,-67.91441082872606
2023/02/12 06:00:15.916,-43.47300884525058
2023/02/12 06:00:16.046,-38.20137443649986
2023/02/12 06:00:16.178,-41.03067736235332
2023/02/12 06:00:16.309,-36.20929088452343
2023/02/12 06:00:16.447,-36.140260635992874
2023/02/12 06:00:16.576,-39.61152916197093
2023/02/12 06:00:16.711,-67.98900992455827
2023/02/12 06:00:16.847,-67.94466133806834
