時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 06:04:42.776,-84
2023/02/12 06:04:42.909,-76.3847031097313
2023/02/12 06:04:43.041,-76.40091725955885
2023/02/12 06:04:43.183,-76.32369879345552
2023/02/12 06:04:43.321,-73.86620137870203
2023/02/12 06:04:43.542,-76.39237994442026
2023/02/12 06:04:43.681,-76.44915667176778
2023/02/12 06:04:43.824,-64.48868511037307
2023/02/12 06:04:44.087,-76.38081844432322
2023/02/12 06:04:44.239,-76.35911052551351
2023/02/12 06:04:44.439,-66.79976725562008
2023/02/12 06:04:44.666,-76.3728858895477
2023/02/12 06:04:44.817,-76.3642833906138
2023/02/12 06:04:45.018,-76.40100828450733
2023/02/12 06:04:45.273,-76.30650029476202
2023/02/12 06:04:45.464,-56.569685864209674
2023/02/12 06:04:45.921,-76.42365050936282
2023/02/12 06:04:46.080,-76.44538785490613
2023/02/12 06:04:46.224,-76.39472069464706
2023/02/12 06:04:46.418,-76.46888731787786
2023/02/12 06:04:46.583,-76.41117682555395
2023/02/12 06:04:46.763,-76.58685764354507
2023/02/12 06:04:47.294,-46.97167953704218
2023/02/12 06:04:47.548,-58.44474032311762
2023/02/12 06:04:47.739,-76.40877560560456
2023/02/12 06:04:47.870,-76.40440353098236
2023/02/12 06:04:48.022,-76.64271562530942
2023/02/12 06:04:48.173,-36.92391027402711
2023/02/12 06:04:48.301,-48.00267905750148
2023/02/12 06:04:48.486,-70.82139071714623
2023/02/12 06:04:48.681,-76.37390812065964
2023/02/12 06:04:48.828,-76.38062795453345
2023/02/12 06:04:48.962,-76.43732049994247
2023/02/12 06:04:49.121,-55.14551418424004
2023/02/12 06:04:49.297,-31.427298704204276
2023/02/12 06:04:49.441,-56.61088365521298
2023/02/12 06:04:49.624,-76.17308449038615
2023/02/12 06:04:49.751,-76.3321861917857
2023/02/12 06:04:49.915,-36.74059013625142
2023/02/12 06:04:50.058,-30.915476007002162
2023/02/12 06:04:50.186,-43.88005263025492
2023/02/12 06:04:50.314,-39.91430590083378
2023/02/12 06:04:50.448,-53.312302305075185
2023/02/12 06:04:50.590,-61.547149754567805
2023/02/12 06:04:50.732,-75.19619517839192
2023/02/12 06:04:50.873,-76.37688402803417
2023/02/12 06:04:51.007,-76.40184034666123
2023/02/12 06:04:51.135,-76.40184034666123
2023/02/12 06:04:51.272,-76.40184034666123
2023/02/12 06:04:51.398,-76.40184034666123
2023/02/12 06:04:51.576,-76.31123161786128
2023/02/12 06:04:51.711,-76.3876974374754
2023/02/12 06:04:51.856,-76.52067869853069
2023/02/12 06:04:51.993,-14.817832599806485
2023/02/12 06:04:52.176,-22.250759124426366
2023/02/12 06:04:52.336,-28.279055511676
2023/02/12 06:04:52.697,-73.26315966381465
2023/02/12 06:04:53.080,-73.45476820789861
2023/02/12 06:04:53.225,-73.51859408604322
2023/02/12 06:04:53.444,-73.52328976262123
2023/02/12 06:04:53.599,-73.63193452741022
2023/02/12 06:04:53.728,-73.49678514302218
2023/02/12 06:04:53.889,-73.4734015109006
2023/02/12 06:04:54.033,-73.50449238007866
2023/02/12 06:04:54.173,-73.47280781199866
2023/02/12 06:04:54.312,-73.51050142210372
2023/02/12 06:04:54.448,-73.47144452281542
2023/02/12 06:04:54.588,-73.7213904039512
2023/02/12 06:04:54.719,-45.145702980231746
2023/02/12 06:04:54.878,-57.06849219521915
2023/02/12 06:04:55.014,-39.04121465624235
2023/02/12 06:04:55.143,-73.7828473129724
2023/02/12 06:04:55.290,-73.47634991356183
2023/02/12 06:04:55.459,-73.42644247324266
2023/02/12 06:04:55.599,-73.44318111250129
2023/02/12 06:04:55.730,-43.59096856157515
2023/02/12 06:04:55.866,-34.099377418035914
