時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 06:14:12.825,-67.94036914136497
2023/02/12 06:14:12.953,-67.98448489991742
2023/02/12 06:14:13.087,-48.919896203343036
2023/02/12 06:14:13.214,-43.290249291213286
2023/02/12 06:14:13.352,-42.82993059290577
2023/02/12 06:14:13.481,-39.94193039031678
2023/02/12 06:14:13.617,-53.43290897997483
2023/02/12 06:14:13.744,-67.81238652668792
2023/02/12 06:14:13.872,-67.21958394343797
2023/02/12 06:14:14.016,-67.2389585059534
2023/02/12 06:14:14.143,-67.24322556382809
2023/02/12 06:14:14.271,-67.23003099326647
2023/02/12 06:14:14.407,-67.24337668845305
2023/02/12 06:14:14.539,-67.23047813416409
2023/02/12 06:14:14.666,-67.24757038086643
2023/02/12 06:14:14.807,-67.23069579064835
2023/02/12 06:14:14.947,-67.49880545266623
2023/02/12 06:14:15.086,-68.28951113653739
2023/02/12 06:14:15.212,-68.16859647512062
2023/02/12 06:14:15.337,-30.153075636998764
2023/02/12 06:14:15.463,-36.625190315016
2023/02/12 06:14:15.601,-45.17164451160376
2023/02/12 06:14:15.738,-66.56850746777666
2023/02/12 06:14:15.873,-68.13926789246578
2023/02/12 06:14:16.000,-67.47204936875956
2023/02/12 06:14:16.135,-41.71566166110661
2023/02/12 06:14:16.260,-26.92439390309117
2023/02/12 06:14:16.387,-26.713442540591217
2023/02/12 06:14:16.513,-42.98125395553121
2023/02/12 06:14:16.651,-44.277999516538316
2023/02/12 06:14:16.791,-51.04344502266023
2023/02/12 06:14:16.916,-67.94872577082783
2023/02/12 06:14:17.053,-67.92811447980608
2023/02/12 06:14:17.183,-67.9230583253086
2023/02/12 06:14:17.321,-67.91915025294091
2023/02/12 06:14:17.449,-67.92047453568188
2023/02/12 06:14:17.585,-26.035195041201334
2023/02/12 06:14:17.715,-38.587224909876674
2023/02/12 06:14:17.854,-31.083321283309033
2023/02/12 06:14:17.981,-40.44064014647681
2023/02/12 06:14:18.117,-34.90927135755372
2023/02/12 06:14:18.249,-58.10395438692033
2023/02/12 06:14:18.382,-42.67167738683253
2023/02/12 06:14:18.514,-49.19198736831558
2023/02/12 06:14:18.651,-32.93127515037063
2023/02/12 06:14:18.788,-43.02392953339188
2023/02/12 06:14:18.916,-29.96430744349004
2023/02/12 06:14:19.055,-52.30606009998873
2023/02/12 06:14:19.183,-67.98684820516313
2023/02/12 06:14:19.308,-68.0182542332981
2023/02/12 06:14:19.437,-67.93194417241305
2023/02/12 06:14:19.565,-67.93194417241305
2023/02/12 06:14:19.702,-36.37097102758634
2023/02/12 06:14:19.835,-43.553528803384616
2023/02/12 06:14:19.961,-47.70933336101245
2023/02/12 06:14:20.086,-42.49994336873084
2023/02/12 06:14:20.212,-34.45583895543953
2023/02/12 06:14:20.352,-30.9567987373894
2023/02/12 06:14:20.487,-33.89552745997303
2023/02/12 06:14:20.629,-24.618035304947355
2023/02/12 06:14:20.759,-47.10192746536724
2023/02/12 06:14:20.888,-47.86855334399248
2023/02/12 06:14:21.016,-46.113646623078395
2023/02/12 06:14:21.156,-67.94849350961726
2023/02/12 06:14:21.299,-39.69820731294873
2023/02/12 06:14:21.432,-37.25254998313743
2023/02/12 06:14:21.563,-50.809002994378325
2023/02/12 06:14:21.700,-67.93745964815456
2023/02/12 06:14:21.836,-38.40801552608639
2023/02/12 06:14:21.964,-24.469542432320534
2023/02/12 06:14:22.103,-27.941629466441466
2023/02/12 06:14:22.236,-22.58453390707929
2023/02/12 06:14:22.371,-38.782010354626614
2023/02/12 06:14:22.502,-39.773984684582935
2023/02/12 06:14:22.636,-33.433084446918905
2023/02/12 06:14:22.762,-54.99449266410764
2023/02/12 06:14:22.889,-58.650255815535544
2023/02/12 06:14:23.016,-41.53275513211752
2023/02/12 06:14:23.148,-46.79527124363125
2023/02/12 06:14:23.273,-39.00293855193367
2023/02/12 06:14:23.402,-67.7961382864309
2023/02/12 06:14:23.539,-41.083727116635615
2023/02/12 06:14:23.665,-63.59709715568396
2023/02/12 06:14:23.806,-41.34377459137896
2023/02/12 06:14:23.932,-42.13918278945801
2023/02/12 06:14:24.069,-61.42979344921229
2023/02/12 06:14:24.198,-68.31954456359688
2023/02/12 06:14:24.336,-35.9661715389113
2023/02/12 06:14:24.465,-30.762448798266885
2023/02/12 06:14:24.602,-37.405696742505455
2023/02/12 06:14:24.735,-36.70961315378088
2023/02/12 06:14:24.868,-32.80231694868691
2023/02/12 06:14:24.997,-61.25346258502063
2023/02/12 06:14:25.136,-67.94167129519548
2023/02/12 06:14:25.264,-67.93328875343056
2023/02/12 06:14:25.402,-58.81341611911318
2023/02/12 06:14:25.539,-34.41202342456965
2023/02/12 06:14:25.669,-28.728598395655453
2023/02/12 06:14:25.807,-35.33424585352602
2023/02/12 06:14:25.932,-44.04142033106864
