時刻,CABLE Output (VB-Audio Virtual Cable)
2023/02/12 06:44:17.464,-84
2023/02/12 06:44:17.629,-76.31689581679744
2023/02/12 06:44:17.774,-76.30907886143228
2023/02/12 06:44:17.914,-76.3900868329774
2023/02/12 06:44:18.061,-76.37980839487729
2023/02/12 06:44:18.215,-76.3278406719162
2023/02/12 06:44:18.403,-75.74093239919247
2023/02/12 06:44:18.567,-76.35252469435562
2023/02/12 06:44:18.701,-76.36048822460776
2023/02/12 06:44:18.845,-76.32721480446173
2023/02/12 06:44:18.974,-76.34600512877215
2023/02/12 06:44:19.102,-76.3313099463179
2023/02/12 06:44:19.228,-76.35127054353717
2023/02/12 06:44:19.355,-76.2995962738
2023/02/12 06:44:19.494,-76.35094771057352
2023/02/12 06:44:19.629,-76.35106852288882
2023/02/12 06:44:19.775,-76.34755338382898
2023/02/12 06:44:19.904,-76.33944067040215
2023/02/12 06:44:20.055,-76.38017305633083
2023/02/12 06:44:20.182,-76.33839705608446
2023/02/12 06:44:20.329,-76.32111159936456
2023/02/12 06:44:20.465,-76.3283889976804
2023/02/12 06:44:20.591,-76.37512707517226
2023/02/12 06:44:20.734,-76.32511270421826
2023/02/12 06:44:20.883,-76.39731785801317
2023/02/12 06:44:21.016,-76.2989434526551
2023/02/12 06:44:21.154,-76.35878988484853
2023/02/12 06:44:21.293,-76.30638967073554
2023/02/12 06:44:21.436,-76.37671826714976
2023/02/12 06:44:21.577,-76.38888755335296
2023/02/12 06:44:21.715,-76.37854914736397
2023/02/12 06:44:21.854,-76.3992569919114
2023/02/12 06:44:21.980,-76.36815568224903
2023/02/12 06:44:22.119,-76.32037941350232
2023/02/12 06:44:22.248,-76.38059222697893
2023/02/12 06:44:22.390,-76.31475437230266
2023/02/12 06:44:22.531,-76.38302352565246
2023/02/12 06:44:22.670,-76.26608506207526
2023/02/12 06:44:22.798,-76.31240175010682
2023/02/12 06:44:22.936,-76.31192844706915
2023/02/12 06:44:23.079,-76.37529758639728
2023/02/12 06:44:23.219,-76.30962525126628
2023/02/12 06:44:23.348,-76.31487212145724
2023/02/12 06:44:23.483,-76.36353600582197
2023/02/12 06:44:23.636,-76.3843720672096
2023/02/12 06:44:23.780,-76.34875971494208
2023/02/12 06:44:23.918,-76.31726680545059
2023/02/12 06:44:24.055,-76.32624536971682
2023/02/12 06:44:24.195,-76.29946461035237
2023/02/12 06:44:24.320,-76.34891023531878
2023/02/12 06:44:24.445,-76.34891023531878
2023/02/12 06:44:24.573,-76.3717291701175
2023/02/12 06:44:24.729,-76.38917655915199
2023/02/12 06:44:24.869,-76.35619715873909
2023/02/12 06:44:24.995,-76.33895059597728
2023/02/12 06:44:25.133,-76.38966570769574
2023/02/12 06:44:25.273,-76.34417166224509
2023/02/12 06:44:25.404,-76.33477223871131
2023/02/12 06:44:25.555,-76.34328604060264
2023/02/12 06:44:25.696,-76.3567171082953
2023/02/12 06:44:25.837,-76.31355801209175
2023/02/12 06:44:25.976,-76.41229626139466
2023/02/12 06:44:26.117,-76.33909623053486
2023/02/12 06:44:26.253,-76.37480967585655
2023/02/12 06:44:26.390,-76.36358018496365
2023/02/12 06:44:26.533,-76.37677601346512
2023/02/12 06:44:26.671,-76.33139998430673
2023/02/12 06:44:26.810,-76.34346738971387
2023/02/12 06:44:26.954,-76.39693309965304
2023/02/12 06:44:27.094,-76.3714760010763
2023/02/12 06:44:27.233,-76.36079026612796
2023/02/12 06:44:27.374,-76.36793472797183
2023/02/12 06:44:27.500,-76.36853159994959
2023/02/12 06:44:27.637,-76.40340742428333
2023/02/12 06:44:27.778,-76.33886918910439
2023/02/12 06:44:27.918,-76.3721943016364
2023/02/12 06:44:28.043,-76.31910386780882
2023/02/12 06:44:28.182,-76.41234700564522
2023/02/12 06:44:28.322,-76.35957549289729
2023/02/12 06:44:28.460,-76.34644090199644
2023/02/12 06:44:28.600,-76.37463467047469
2023/02/12 06:44:28.739,-76.41276780508076
2023/02/12 06:44:28.879,-76.35201919291825
2023/02/12 06:44:29.020,-76.38271139780778
2023/02/12 06:44:29.145,-76.34892119952063
2023/02/12 06:44:29.283,-76.36833030751045
2023/02/12 06:44:29.423,-76.34957456618066
2023/02/12 06:44:29.548,-76.39200363263916
2023/02/12 06:44:29.690,-76.31489754248163
2023/02/12 06:44:29.837,-76.39554214284811
2023/02/12 06:44:29.990,-76.4049599863656
2023/02/12 06:44:30.123,-76.3496353601256
2023/02/12 06:44:30.250,-76.37966813389647
2023/02/12 06:44:30.389,-76.39327538642661
2023/02/12 06:44:30.535,-76.41999099201026
